step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
65000,84,38,59,351,547,444,0.0778,0.0352,0.0547,0.3253,0.5070,4.1483,227,36,23,31,16,333,1.7177
66000,75,42,57,385,572,430,0.0663,0.0371,0.0504,0.3404,0.5057,4.1821,228,36,24,34,20,342,1.7778
67000,94,36,63,390,608,370,0.0789,0.0302,0.0529,0.3275,0.5105,4.1604,229,37,24,35,23,348,1.8103
68000,90,45,56,385,639,350,0.0741,0.0370,0.0461,0.3169,0.5259,4.1835,230,37,25,35,23,350,1.8114
69000,90,36,47,377,661,354,0.0743,0.0297,0.0388,0.3113,0.5458,4.2246,231,38,26,36,27,358,1.8547
70000,93,32,55,391,676,331,0.0746,0.0257,0.0441,0.3136,0.5421,4.2229,235,38,26,37,29,365,1.8685
71000,109,35,57,375,684,317,0.0865,0.0278,0.0452,0.2976,0.5429,4.1825,236,38,26,37,29,366,1.8661
72000,100,34,56,375,682,317,0.0802,0.0273,0.0449,0.3007,0.5469,4.2069,236,38,26,38,29,367,1.8719
73000,111,38,51,399,704,274,0.0852,0.0292,0.0391,0.3062,0.5403,4.1873,235,38,27,40,30,370,1.8973
74000,120,30,44,406,714,267,0.0913,0.0228,0.0335,0.3090,0.5434,4.1903,235,38,27,40,30,370,1.8973
75000,101,37,48,412,730,264,0.0761,0.0279,0.0361,0.3102,0.5497,4.2297,235,38,27,42,30,372,1.9086
76000,115,38,57,398,753,215,0.0845,0.0279,0.0419,0.2924,0.5533,4.2021,235,39,29,43,33,379,1.9446
77000,116,29,63,414,784,193,0.0825,0.0206,0.0448,0.2945,0.5576,4.2240,236,39,29,44,33,381,1.9475
78000,114,29,77,430,815,142,0.0778,0.0198,0.0526,0.2935,0.5563,4.2307,236,39,30,47,33,385,1.9662
79000,118,40,73,420,844,107,0.0789,0.0268,0.0488,0.2809,0.5645,4.2254,237,39,31,47,33,387,1.9664
80000,145,41,73,440,854,75,0.0934,0.0264,0.0470,0.2833,0.5499,4.1700,240,40,31,48,34,393,1.9720
81000,164,47,87,436,876,24,0.1019,0.0292,0.0540,0.2708,0.5441,4.1261,241,41,31,49,35,397,1.9824
82000,181,46,89,438,860,22,0.1121,0.0285,0.0551,0.2714,0.5328,4.0843,240,41,31,49,36,397,1.9924
83000,263,56,98,439,793,0,0.1595,0.0340,0.0594,0.2662,0.4809,3.8751,236,39,33,50,39,397,2.0353
84000,386,73,113,431,645,0,0.2342,0.0443,0.0686,0.2615,0.3914,3.5316,233,40,33,52,41,399,2.0677
85000,519,102,114,413,493,0,0.3163,0.0622,0.0695,0.2517,0.3004,3.1578,237,38,34,53,44,406,2.0862
86000,665,143,118,354,353,0,0.4072,0.0876,0.0723,0.2168,0.2162,2.7471,237,39,36,54,46,412,2.1092
87000,868,166,109,275,222,0,0.5293,0.1012,0.0665,0.1677,0.1354,2.2787,235,39,35,53,46,408,2.1078
88000,1054,188,110,160,116,0,0.6474,0.1155,0.0676,0.0983,0.0713,1.8305,240,40,36,54,48,418,2.1148
89000,1208,195,89,102,41,0,0.7388,0.1193,0.0544,0.0624,0.0251,1.5156,234,40,37,54,47,412,2.1262
90000,1343,177,53,60,15,0,0.8149,0.1074,0.0322,0.0364,0.0091,1.3174,226,39,36,53,44,398,2.1206
91000,1412,187,36,18,5,0,0.8516,0.1128,0.0217,0.0109,0.0030,1.2008,223,40,33,51,42,389,2.0977
92000,1470,166,24,4,3,0,0.8818,0.0996,0.0144,0.0024,0.0018,1.1428,219,43,32,47,39,380,2.0632
93000,1511,155,9,2,2,0,0.8999,0.0923,0.0054,0.0012,0.0012,1.1114,216,40,32,44,37,369,2.0407
94000,1561,118,8,4,5,0,0.9204,0.0696,0.0047,0.0024,0.0029,1.0979,208,40,31,41,32,352,2.0028
95000,1620,81,9,2,2,0,0.9452,0.0473,0.0053,0.0012,0.0012,1.0659,197,39,27,39,31,333,2.0030
96000,1648,66,7,2,4,1,0.9543,0.0382,0.0041,0.0012,0.0023,1.0591,190,38,25,39,27,319,1.9812
97000,1234,59,9,12,4,302,0.9363,0.0448,0.0068,0.0091,0.0030,1.0979,194,39,25,39,27,324,1.9691
98000,917,46,5,19,11,482,0.9188,0.0461,0.0050,0.0190,0.0110,1.1573,197,39,25,39,27,327,1.9602
99000,724,47,7,38,21,599,0.8650,0.0562,0.0084,0.0454,0.0251,1.3094,198,39,25,39,27,328,1.9573
100000,558,45,13,51,34,721,0.7960,0.0642,0.0185,0.0728,0.0485,1.5136,199,39,25,39,27,329,1.9544
101000,424,47,22,73,47,767,0.6917,0.0767,0.0359,0.1191,0.0767,1.8124,202,40,25,39,27,333,1.9459
102000,298,48,26,88,61,769,0.5720,0.0921,0.0499,0.1689,0.1171,2.1670,203,41,26,40,27,337,1.9525
103000,189,50,48,120,78,801,0.3897,0.1031,0.0990,0.2474,0.1608,2.6866,203,42,26,40,28,339,1.9617
104000,120,47,71,132,98,797,0.2564,0.1004,0.1517,0.2821,0.2094,3.0876,206,42,26,40,30,344,1.9709
105000,113,46,84,153,114,761,0.2216,0.0902,0.1647,0.3000,0.2235,3.2137,210,42,28,40,30,350,1.9657
106000,93,68,106,179,131,730,0.1612,0.1179,0.1837,0.3102,0.2270,3.3241,214,42,28,41,30,355,1.9606
107000,98,83,93,199,157,709,0.1556,0.1317,0.1476,0.3159,0.2492,3.3714,216,42,28,43,31,360,1.9750
108000,98,76,91,229,176,693,0.1463,0.1134,0.1358,0.3418,0.2627,3.4612,218,43,30,44,31,366,1.9809
109000,82,62,83,249,204,667,0.1206,0.0912,0.1221,0.3662,0.3000,3.6338,219,43,30,46,32,370,1.9973
110000,89,82,75,281,233,577,0.1171,0.1079,0.0987,0.3697,0.3066,3.6408,219,43,32,50,33,377,2.0318
111000,109,94,81,300,251,551,0.1305,0.1126,0.0970,0.3593,0.3006,3.5868,221,44,34,53,34,386,2.0544
112000,88,68,96,316,270,576,0.1050,0.0811,0.1146,0.3771,0.3222,3.7303,222,44,35,55,34,390,2.0641
113000,78,69,94,334,289,562,0.0903,0.0799,0.1088,0.3866,0.3345,3.7951,223,45,36,55,36,395,2.0785
114000,78,52,102,345,312,543,0.0877,0.0585,0.1147,0.3881,0.3510,3.8560,225,45,38,55,36,399,2.0777
