step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
150000,176,269,476,792,334,0,0.0860,0.1314,0.2325,0.3869,0.1632,3.4099
151000,144,276,484,769,304,55,0.0728,0.1396,0.2448,0.3890,0.1538,3.4112
152000,135,251,488,744,314,89,0.0699,0.1299,0.2526,0.3851,0.1625,3.4405
153000,137,250,445,707,323,136,0.0736,0.1343,0.2390,0.3797,0.1735,3.4452
154000,138,226,420,734,363,120,0.0734,0.1201,0.2233,0.3902,0.1930,3.5093
155000,87,182,396,728,376,204,0.0492,0.1029,0.2239,0.4115,0.2125,3.6354
156000,70,139,369,708,416,236,0.0411,0.0817,0.2168,0.4160,0.2444,3.7409
157000,62,99,355,712,443,263,0.0371,0.0592,0.2124,0.4261,0.2651,3.8229
158000,65,91,321,715,471,267,0.0391,0.0547,0.1930,0.4299,0.2832,3.8635
159000,45,73,303,733,529,266,0.0267,0.0434,0.1800,0.4355,0.3143,3.9673
160000,36,66,265,741,544,274,0.0218,0.0400,0.1604,0.4485,0.3293,4.0236
161000,32,53,217,751,603,282,0.0193,0.0320,0.1310,0.4535,0.3641,4.1111
162000,16,37,182,755,668,280,0.0097,0.0223,0.1098,0.4554,0.4029,4.2195
163000,10,20,180,768,699,285,0.0060,0.0119,0.1073,0.4580,0.4168,4.2677
164000,7,17,152,780,713,270,0.0042,0.0102,0.0911,0.4673,0.4272,4.3032
165000,6,19,145,756,778,228,0.0035,0.0112,0.0851,0.4437,0.4566,4.3386
166000,7,17,122,783,839,200,0.0040,0.0096,0.0690,0.4429,0.4745,4.3744
167000,3,7,101,786,892,198,0.0017,0.0039,0.0565,0.4394,0.4986,4.4293
168000,4,6,103,760,937,174,0.0022,0.0033,0.0569,0.4199,0.5177,4.4475
169000,2,0,82,744,987,161,0.0011,0.0000,0.0452,0.4099,0.5438,4.4953
170000,0,2,54,736,1009,166,0.0000,0.0011,0.0300,0.4087,0.5602,4.5280
171000,0,0,52,738,1047,137,0.0000,0.0000,0.0283,0.4017,0.5700,4.5416
172000,0,0,54,754,1110,97,0.0000,0.0000,0.0282,0.3931,0.5787,4.5506
173000,0,0,50,713,1135,108,0.0000,0.0000,0.0263,0.3757,0.5980,4.5717
174000,0,0,44,726,1194,54,0.0000,0.0000,0.0224,0.3697,0.6079,4.5855
175000,0,1,48,720,1223,43,0.0000,0.0005,0.0241,0.3614,0.6140,4.5889
176000,0,1,51,696,1236,44,0.0000,0.0005,0.0257,0.3508,0.6230,4.5963
177000,0,1,49,690,1299,4,0.0000,0.0005,0.0240,0.3384,0.6371,4.6121
178000,0,1,70,718,1254,0,0.0000,0.0005,0.0343,0.3514,0.6138,4.5786
179000,0,5,90,748,1198,0,0.0000,0.0024,0.0441,0.3665,0.5870,4.5380
180000,0,8,124,788,1127,0,0.0000,0.0039,0.0606,0.3850,0.5506,4.4822
181000,3,11,150,832,1051,0,0.0015,0.0054,0.0733,0.4064,0.5134,4.4250
182000,6,16,178,856,989,0,0.0029,0.0078,0.0870,0.4186,0.4836,4.3721
183000,12,26,225,881,901,0,0.0059,0.0127,0.1100,0.4308,0.4406,4.2875
184000,20,34,266,903,824,0,0.0098,0.0166,0.1299,0.4411,0.4025,4.2101
185000,33,48,300,906,756,0,0.0162,0.0235,0.1468,0.4435,0.3700,4.1278
186000,46,67,362,908,662,0,0.0225,0.0328,0.1770,0.4440,0.3237,4.0137
187000,62,88,396,900,598,0,0.0303,0.0431,0.1937,0.4403,0.2926,3.9217
188000,83,110,441,856,554,0,0.0406,0.0538,0.2158,0.4188,0.2710,3.8258
189000,108,145,500,833,458,0,0.0528,0.0709,0.2446,0.4075,0.2241,3.6791
190000,131,181,520,819,395,0,0.0640,0.0885,0.2542,0.4003,0.1931,3.5699
191000,153,220,556,788,329,0,0.0748,0.1075,0.2717,0.3851,0.1608,3.4497
192000,190,256,607,721,274,0,0.0928,0.1250,0.2964,0.3521,0.1338,3.3091
193000,226,301,645,666,208,0,0.1105,0.1471,0.3152,0.3255,0.1017,3.1608
194000,270,353,644,615,164,0,0.1320,0.1725,0.3148,0.3006,0.0802,3.0244
195000,311,406,652,565,114,0,0.1519,0.1982,0.3184,0.2759,0.0557,2.8853
196000,354,456,641,489,106,0,0.1730,0.2229,0.3133,0.2390,0.0518,2.7737
197000,415,499,635,403,94,0,0.2028,0.2439,0.3104,0.1970,0.0459,2.6393
198000,483,542,631,328,62,0,0.2361,0.2649,0.3084,0.1603,0.0303,2.4839
199000,415,512,580,291,67,131,0.2225,0.2745,0.3110,0.1560,0.0359,2.5083
200000,325,429,551,293,80,243,0.1937,0.2557,0.3284,0.1746,0.0477,2.6269
201000,238,390,502,300,96,376,0.1560,0.2556,0.3290,0.1966,0.0629,2.7549
202000,185,299,462,319,106,438,0.1349,0.2181,0.3370,0.2327,0.0773,2.8993
203000,161,268,409,329,130,465,0.1241,0.2066,0.3153,0.2537,0.1002,2.9992
204000,150,245,397,339,156,495,0.1166,0.1904,0.3085,0.2634,0.1212,3.0824
205000,143,207,342,339,182,571,0.1179,0.1707,0.2819,0.2795,0.1500,3.1731
206000,117,159,315,338,208,592,0.1029,0.1398,0.2770,0.2973,0.1829,3.3175
207000,87,139,310,348,237,570,0.0776,0.1240,0.2765,0.3104,0.2114,3.4541
208000,38,101,282,413,277,591,0.0342,0.0909,0.2538,0.3717,0.2493,3.7111
209000,15,67,277,461,296,572,0.0134,0.0600,0.2482,0.4131,0.2652,3.8566
210000,8,58,244,507,329,592,0.0070,0.0506,0.2129,0.4424,0.2871,3.9520
211000,1,32,237,532,360,604,0.0009,0.0275,0.2040,0.4578,0.3098,4.0482
212000,1,17,207,533,422,564,0.0008,0.0144,0.1754,0.4517,0.3576,4.1508
213000,0,12,185,558,468,543,0.0000,0.0098,0.1513,0.4563,0.3827,4.2118
214000,0,12,174,586,510,508,0.0000,0.0094,0.1357,0.4571,0.3978,4.2434
215000,10,14,158,591,544,498,0.0076,0.0106,0.1200,0.4487,0.4131,4.2491
216000,1,14,153,609,574,456,0.0007,0.0104,0.1132,0.4508,0.4249,4.2887
