step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
122000,25,88,233,904,721,48,0.0127,0.0446,0.1182,0.4587,0.3658,4.1202
123000,25,76,214,932,745,36,0.0126,0.0382,0.1074,0.4679,0.3740,4.1526
124000,26,69,180,922,737,88,0.0134,0.0357,0.0931,0.4767,0.3811,4.1763
125000,22,55,155,890,747,136,0.0118,0.0294,0.0829,0.4762,0.3997,4.2226
126000,12,58,147,878,779,123,0.0064,0.0309,0.0784,0.4685,0.4157,4.2561
127000,12,37,144,859,818,130,0.0064,0.0198,0.0770,0.4594,0.4374,4.3016
128000,6,20,134,861,871,115,0.0032,0.0106,0.0708,0.4551,0.4604,4.3589
129000,8,14,141,848,867,127,0.0043,0.0075,0.0751,0.4515,0.4617,4.3589
130000,7,15,127,822,903,120,0.0037,0.0080,0.0678,0.4386,0.4819,4.3869
131000,7,14,130,824,950,96,0.0036,0.0073,0.0675,0.4281,0.4935,4.4005
132000,9,8,130,823,982,62,0.0046,0.0041,0.0666,0.4216,0.5031,4.4144
133000,7,9,128,826,1013,44,0.0035,0.0045,0.0645,0.4165,0.5108,4.4266
134000,8,12,125,836,1047,12,0.0039,0.0059,0.0616,0.4122,0.5163,4.4310
135000,8,14,112,820,1039,39,0.0040,0.0070,0.0562,0.4114,0.5213,4.4390
136000,8,14,112,838,1049,14,0.0040,0.0069,0.0554,0.4146,0.5190,4.4379
137000,7,9,116,872,1027,8,0.0034,0.0044,0.0571,0.4293,0.5057,4.4293
138000,8,15,122,864,1013,18,0.0040,0.0074,0.0603,0.4273,0.5010,4.4139
139000,8,22,148,871,988,7,0.0039,0.0108,0.0727,0.4276,0.4850,4.3790
140000,8,28,162,890,934,14,0.0040,0.0138,0.0801,0.4402,0.4619,4.3422
141000,9,28,152,878,954,20,0.0045,0.0139,0.0752,0.4344,0.4720,4.3558
142000,11,29,149,856,967,26,0.0055,0.0144,0.0741,0.4254,0.4806,4.3613
143000,11,31,146,856,952,34,0.0055,0.0155,0.0731,0.4289,0.4770,4.3562
144000,14,30,151,854,944,35,0.0070,0.0151,0.0758,0.4285,0.4737,4.3467
145000,8,32,157,838,950,48,0.0040,0.0161,0.0791,0.4222,0.4786,4.3552
146000,10,32,169,868,944,15,0.0049,0.0158,0.0835,0.4291,0.4666,4.3366
147000,5,23,154,870,961,24,0.0025,0.0114,0.0765,0.4322,0.4774,4.3706
148000,8,26,162,874,957,12,0.0039,0.0128,0.0799,0.4312,0.4721,4.3547
149000,12,27,180,855,953,15,0.0059,0.0133,0.0888,0.4218,0.4702,4.3370
150000,9,32,178,806,967,38,0.0045,0.0161,0.0894,0.4046,0.4854,4.3504
150000,9,32,178,806,967,38,0.0045,0.0161,0.0894,0.4046,0.4854,4.3504
