step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
133000,24,73,318,782,419,320,0.0149,0.0452,0.1968,0.4839,0.2593,3.9276
134000,18,53,277,759,460,345,0.0115,0.0338,0.1768,0.4844,0.2936,4.0147
135000,14,35,231,746,531,346,0.0090,0.0225,0.1484,0.4791,0.3410,4.1207
136000,14,24,189,758,590,329,0.0089,0.0152,0.1200,0.4813,0.3746,4.1975
137000,2,15,181,775,626,306,0.0013,0.0094,0.1132,0.4847,0.3915,4.2558
138000,2,12,164,806,653,289,0.0012,0.0073,0.1002,0.4924,0.3989,4.2804
139000,2,9,147,820,697,262,0.0012,0.0054,0.0878,0.4896,0.4161,4.3140
140000,2,4,130,837,727,242,0.0012,0.0024,0.0765,0.4924,0.4276,4.3429
141000,0,2,129,843,775,211,0.0000,0.0011,0.0738,0.4820,0.4431,4.3671
142000,0,3,124,862,836,154,0.0000,0.0016,0.0679,0.4723,0.4581,4.3868
143000,1,8,110,854,869,147,0.0005,0.0043,0.0597,0.4636,0.4718,4.4017
144000,0,3,96,877,906,120,0.0000,0.0016,0.0510,0.4660,0.4814,4.4272
145000,0,0,85,874,945,103,0.0000,0.0000,0.0446,0.4590,0.4963,4.4517
146000,0,0,78,849,974,102,0.0000,0.0000,0.0410,0.4466,0.5124,4.4713
147000,0,1,86,876,1011,46,0.0000,0.0005,0.0436,0.4438,0.5122,4.4676
148000,0,3,91,847,1034,54,0.0000,0.0015,0.0461,0.4289,0.5235,4.4744
149000,0,0,109,860,1060,9,0.0000,0.0000,0.0537,0.4239,0.5224,4.4687
150000,1,7,121,899,1015,0,0.0005,0.0034,0.0592,0.4400,0.4968,4.4293
150000,1,7,121,899,1015,0,0.0005,0.0034,0.0592,0.4400,0.4968,4.4293
