step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
111000,84,133,411,915,499,0,0.0411,0.0651,0.2013,0.4481,0.2444,3.7894,0,0,0,0,0,0,0.0000
112000,106,159,447,891,443,0,0.0518,0.0777,0.2185,0.4355,0.2165,3.6872,0,0,0,0,0,0,0.0000
113000,136,191,479,856,384,0,0.0665,0.0934,0.2341,0.4184,0.1877,3.5674,0,0,0,0,0,0,0.0000
114000,168,238,528,777,333,0,0.0822,0.1164,0.2583,0.3801,0.1629,3.4251,0,0,0,0,0,0,0.0000
115000,201,279,536,742,286,0,0.0983,0.1365,0.2622,0.3630,0.1399,3.3097,0,0,0,0,0,0,0.0000
116000,241,327,564,688,226,0,0.1178,0.1598,0.2757,0.3363,0.1105,3.1618,0,0,0,0,0,0,0.0000
117000,291,371,585,619,180,0,0.1422,0.1813,0.2859,0.3025,0.0880,3.0127,0,0,0,0,0,0,0.0000
118000,340,424,609,525,148,0,0.1662,0.2072,0.2977,0.2566,0.0723,2.8617,0,0,0,0,0,0,0.0000
119000,385,453,624,470,114,0,0.1882,0.2214,0.3050,0.2297,0.0557,2.7434,0,0,0,0,0,0,0.0000
120000,441,508,621,391,85,0,0.2155,0.2483,0.3035,0.1911,0.0415,2.5948,0,0,0,0,0,0,0.0000
121000,517,553,597,323,58,0,0.2524,0.2700,0.2915,0.1577,0.0283,2.4395,0,0,0,0,0,0,0.0000
122000,586,603,561,245,51,0,0.2864,0.2947,0.2742,0.1197,0.0249,2.3021,0,0,0,0,0,0,0.0000
123000,674,630,535,177,32,0,0.3291,0.3076,0.2612,0.0864,0.0156,2.1519,0,0,0,0,0,0,0.0000
124000,758,668,466,131,23,0,0.3705,0.3265,0.2278,0.0640,0.0112,2.0191,0,0,0,0,0,0,0.0000
125000,853,685,406,87,15,0,0.4169,0.3348,0.1984,0.0425,0.0073,1.8886,0,0,0,0,0,0,0.0000
126000,954,700,335,49,10,0,0.4658,0.3418,0.1636,0.0239,0.0049,1.7603,0,0,0,0,0,0,0.0000
127000,1036,709,262,33,8,0,0.5059,0.3462,0.1279,0.0161,0.0039,1.6660,0,0,0,0,0,0,0.0000
128000,1130,684,211,18,5,0,0.5518,0.3340,0.1030,0.0088,0.0024,1.5762,0,0,0,0,0,0,0.0000
129000,1228,659,149,9,1,0,0.6002,0.3221,0.0728,0.0044,0.0005,1.4829,0,0,0,0,0,0,0.0000
130000,1325,613,106,4,0,0,0.6470,0.2993,0.0518,0.0020,0.0000,1.4087,0,0,0,0,0,0,0.0000
131000,1415,553,76,2,0,0,0.6916,0.2703,0.0371,0.0010,0.0000,1.3475,0,0,0,0,0,0,0.0000
132000,1497,495,55,1,0,0,0.7310,0.2417,0.0269,0.0005,0.0000,1.2969,0,0,0,0,0,0,0.0000
133000,1581,435,30,0,0,0,0.7727,0.2126,0.0147,0.0000,0.0000,1.2419,0,0,0,0,0,0,0.0000
134000,1660,361,27,0,0,0,0.8105,0.1763,0.0132,0.0000,0.0000,1.2026,0,0,0,0,0,0,0.0000
135000,1726,310,12,0,0,0,0.8428,0.1514,0.0059,0.0000,0.0000,1.1631,0,0,0,0,0,0,0.0000
136000,1765,273,10,0,0,0,0.8618,0.1333,0.0049,0.0000,0.0000,1.1431,0,0,0,0,0,0,0.0000
137000,1807,233,6,0,0,0,0.8832,0.1139,0.0029,0.0000,0.0000,1.1197,0,0,0,0,0,0,0.0000
138000,1852,191,5,0,0,0,0.9043,0.0933,0.0024,0.0000,0.0000,1.0981,0,0,0,0,0,0,0.0000
139000,1902,143,3,0,0,0,0.9287,0.0698,0.0015,0.0000,0.0000,1.0728,0,0,0,0,0,0,0.0000
140000,1922,126,0,0,0,0,0.9385,0.0615,0.0000,0.0000,0.0000,1.0615,0,0,0,0,0,0,0.0000
141000,1937,110,1,0,0,0,0.9458,0.0537,0.0005,0.0000,0.0000,1.0547,0,0,0,0,0,0,0.0000
142000,1949,98,1,0,0,0,0.9517,0.0479,0.0005,0.0000,0.0000,1.0488,0,0,0,0,0,0,0.0000
143000,1956,89,3,0,0,0,0.9551,0.0435,0.0015,0.0000,0.0000,1.0464,0,0,0,0,0,0,0.0000
144000,1966,80,2,0,0,0,0.9600,0.0391,0.0010,0.0000,0.0000,1.0410,0,0,0,0,0,0,0.0000
145000,1970,77,0,1,0,0,0.9619,0.0376,0.0000,0.0005,0.0000,1.0391,0,0,0,0,0,0,0.0000
146000,1972,76,0,0,0,0,0.9629,0.0371,0.0000,0.0000,0.0000,1.0371,0,0,0,0,0,0,0.0000
147000,1966,82,0,0,0,0,0.9600,0.0400,0.0000,0.0000,0.0000,1.0400,0,0,0,0,0,0,0.0000
148000,1969,79,0,0,0,0,0.9614,0.0386,0.0000,0.0000,0.0000,1.0386,0,0,0,0,0,0,0.0000
149000,1971,77,0,0,0,0,0.9624,0.0376,0.0000,0.0000,0.0000,1.0376,0,0,0,0,0,0,0.0000
150000,1980,67,1,0,0,0,0.9668,0.0327,0.0005,0.0000,0.0000,1.0337,0,0,0,0,0,0,0.0000
151000,1985,62,1,0,0,0,0.9692,0.0303,0.0005,0.0000,0.0000,1.0312,0,0,0,0,0,0,0.0000
152000,1978,70,0,0,0,0,0.9658,0.0342,0.0000,0.0000,0.0000,1.0342,0,0,0,0,0,0,0.0000
153000,1975,71,1,1,0,0,0.9644,0.0347,0.0005,0.0005,0.0000,1.0371,0,0,0,0,0,0,0.0000
154000,1977,70,1,0,0,0,0.9653,0.0342,0.0005,0.0000,0.0000,1.0352,0,0,0,0,0,0,0.0000
155000,1974,72,2,0,0,0,0.9639,0.0352,0.0010,0.0000,0.0000,1.0371,0,0,0,0,0,0,0.0000
156000,1985,62,0,1,0,0,0.9692,0.0303,0.0000,0.0005,0.0000,1.0317,0,0,0,0,0,0,0.0000
157000,1981,67,0,0,0,0,0.9673,0.0327,0.0000,0.0000,0.0000,1.0327,0,0,0,0,0,0,0.0000
158000,1986,62,0,0,0,0,0.9697,0.0303,0.0000,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
159000,1974,74,0,0,0,0,0.9639,0.0361,0.0000,0.0000,0.0000,1.0361,0,0,0,0,0,0,0.0000
160000,1982,65,1,0,0,0,0.9678,0.0317,0.0005,0.0000,0.0000,1.0327,0,0,0,0,0,0,0.0000
161000,1973,74,0,1,0,0,0.9634,0.0361,0.0000,0.0005,0.0000,1.0376,0,0,0,0,0,0,0.0000
162000,1973,75,0,0,0,0,0.9634,0.0366,0.0000,0.0000,0.0000,1.0366,0,0,0,0,0,0,0.0000
163000,1985,61,1,0,1,0,0.9692,0.0298,0.0005,0.0000,0.0005,1.0327,0,0,0,0,0,0,0.0000
164000,1973,74,1,0,0,0,0.9634,0.0361,0.0005,0.0000,0.0000,1.0371,0,0,0,0,0,0,0.0000
165000,1983,63,2,0,0,0,0.9683,0.0308,0.0010,0.0000,0.0000,1.0327,0,0,0,0,0,0,0.0000
166000,1969,73,6,0,0,0,0.9614,0.0356,0.0029,0.0000,0.0000,1.0415,0,0,0,0,0,0,0.0000
167000,1981,64,3,0,0,0,0.9673,0.0312,0.0015,0.0000,0.0000,1.0342,0,0,0,0,0,0,0.0000
168000,1981,61,6,0,0,0,0.9673,0.0298,0.0029,0.0000,0.0000,1.0356,0,0,0,0,0,0,0.0000
169000,1986,57,5,0,0,0,0.9697,0.0278,0.0024,0.0000,0.0000,1.0327,0,0,0,0,0,0,0.0000
170000,1989,56,3,0,0,0,0.9712,0.0273,0.0015,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
171000,1980,67,0,0,1,0,0.9668,0.0327,0.0000,0.0000,0.0005,1.0347,0,0,0,0,0,0,0.0000
172000,1973,74,0,0,1,0,0.9634,0.0361,0.0000,0.0000,0.0005,1.0381,0,0,0,0,0,0,0.0000
173000,1982,65,0,0,1,0,0.9678,0.0317,0.0000,0.0000,0.0005,1.0337,0,0,0,0,0,0,0.0000
174000,1976,71,1,0,0,0,0.9648,0.0347,0.0005,0.0000,0.0000,1.0356,0,0,0,0,0,0,0.0000
175000,1976,71,1,0,0,0,0.9648,0.0347,0.0005,0.0000,0.0000,1.0356,0,0,0,0,0,0,0.0000
176000,1978,67,3,0,0,0,0.9658,0.0327,0.0015,0.0000,0.0000,1.0356,0,0,0,0,0,0,0.0000
177000,1987,60,1,0,0,0,0.9702,0.0293,0.0005,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
178000,1992,55,1,0,0,0,0.9727,0.0269,0.0005,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
179000,1982,66,0,0,0,0,0.9678,0.0322,0.0000,0.0000,0.0000,1.0322,0,0,0,0,0,0,0.0000
180000,1984,63,0,0,1,0,0.9688,0.0308,0.0000,0.0000,0.0005,1.0327,0,0,0,0,0,0,0.0000
181000,1978,65,4,0,1,0,0.9658,0.0317,0.0020,0.0000,0.0005,1.0376,0,0,0,0,0,0,0.0000
182000,1969,75,1,0,1,0,0.9624,0.0367,0.0005,0.0000,0.0005,1.0396,0,0,0,0,0,0,0.0000
183000,1973,75,0,0,0,0,0.9634,0.0366,0.0000,0.0000,0.0000,1.0366,0,0,0,0,0,0,0.0000
184000,1977,71,0,0,0,0,0.9653,0.0347,0.0000,0.0000,0.0000,1.0347,0,0,0,0,0,0,0.0000
185000,1985,63,0,0,0,0,0.9692,0.0308,0.0000,0.0000,0.0000,1.0308,0,0,0,0,0,0,0.0000
186000,1991,57,0,0,0,0,0.9722,0.0278,0.0000,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
187000,2002,45,1,0,0,0,0.9775,0.0220,0.0005,0.0000,0.0000,1.0229,0,0,0,0,0,0,0.0000
188000,1992,55,1,0,0,0,0.9727,0.0269,0.0005,0.0000,0.0000,1.0278,0,0,0,0,0,0,0.0000
189000,1993,54,0,0,1,0,0.9731,0.0264,0.0000,0.0000,0.0005,1.0283,0,0,0,0,0,0,0.0000
190000,1998,48,0,0,0,0,0.9765,0.0235,0.0000,0.0000,0.0000,1.0235,0,0,0,0,0,0,0.0000
191000,2000,48,0,0,0,0,0.9766,0.0234,0.0000,0.0000,0.0000,1.0234,0,0,0,0,0,0,0.0000
192000,1992,56,0,0,0,0,0.9727,0.0273,0.0000,0.0000,0.0000,1.0273,0,0,0,0,0,0,0.0000
193000,1988,60,0,0,0,0,0.9707,0.0293,0.0000,0.0000,0.0000,1.0293,0,0,0,0,0,0,0.0000
194000,1990,58,0,0,0,0,0.9717,0.0283,0.0000,0.0000,0.0000,1.0283,0,0,0,0,0,0,0.0000
195000,1977,71,0,0,0,0,0.9653,0.0347,0.0000,0.0000,0.0000,1.0347,0,0,0,0,0,0,0.0000
196000,1984,63,1,0,0,0,0.9688,0.0308,0.0005,0.0000,0.0000,1.0317,0,0,0,0,0,0,0.0000
197000,1996,50,2,0,0,0,0.9746,0.0244,0.0010,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
198000,1988,59,1,0,0,0,0.9707,0.0288,0.0005,0.0000,0.0000,1.0298,0,0,0,0,0,0,0.0000
199000,1986,62,0,0,0,0,0.9697,0.0303,0.0000,0.0000,0.0000,1.0303,0,0,0,0,0,0,0.0000
200000,1991,56,1,0,0,0,0.9722,0.0273,0.0005,0.0000,0.0000,1.0283,0,0,0,0,0,0,0.0000
201000,2000,48,0,0,0,0,0.9766,0.0234,0.0000,0.0000,0.0000,1.0234,0,0,0,0,0,0,0.0000
202000,1992,56,0,0,0,0,0.9727,0.0273,0.0000,0.0000,0.0000,1.0273,0,0,0,0,0,0,0.0000
203000,1994,53,0,1,0,0,0.9736,0.0259,0.0000,0.0005,0.0000,1.0273,0,0,0,0,0,0,0.0000
204000,1994,54,0,0,0,0,0.9736,0.0264,0.0000,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
205000,1988,59,0,1,0,0,0.9707,0.0288,0.0000,0.0005,0.0000,1.0303,0,0,0,0,0,0,0.0000
206000,1977,68,0,1,0,0,0.9663,0.0332,0.0000,0.0005,0.0000,1.0347,0,0,0,0,0,0,0.0000
207000,1980,68,0,0,0,0,0.9668,0.0332,0.0000,0.0000,0.0000,1.0332,0,0,0,0,0,0,0.0000
208000,1971,72,3,0,0,0,0.9633,0.0352,0.0015,0.0000,0.0000,1.0381,0,0,0,0,0,0,0.0000
209000,1980,67,1,0,0,0,0.9668,0.0327,0.0005,0.0000,0.0000,1.0337,0,0,0,0,0,0,0.0000
210000,1980,68,0,0,0,0,0.9668,0.0332,0.0000,0.0000,0.0000,1.0332,0,0,0,0,0,0,0.0000
211000,1984,63,1,0,0,0,0.9688,0.0308,0.0005,0.0000,0.0000,1.0317,0,0,0,0,0,0,0.0000
212000,1985,62,1,0,0,0,0.9692,0.0303,0.0005,0.0000,0.0000,1.0312,0,0,0,0,0,0,0.0000
213000,1992,56,0,0,0,0,0.9727,0.0273,0.0000,0.0000,0.0000,1.0273,0,0,0,0,0,0,0.0000
214000,1993,52,1,0,0,0,0.9741,0.0254,0.0005,0.0000,0.0000,1.0264,0,0,0,0,0,0,0.0000
215000,1991,56,1,0,0,0,0.9722,0.0273,0.0005,0.0000,0.0000,1.0283,0,0,0,0,0,0,0.0000
216000,1984,64,0,0,0,0,0.9688,0.0312,0.0000,0.0000,0.0000,1.0312,0,0,0,0,0,0,0.0000
