arm,m,seed,res_f,res_s,ext_ev_f,ext_ev_s,phi0_cross,phi0_own,n_ext_samples,b_base,b_pair,b_dpair,min_cross_share,sp_overlap_exc,sp_drift_R,runlen_obs,runlen_null
paraonly,8,29,0,0,0,0,,,0,2228,0,434,0.294,0.074,0.766,2.677,1.529
paraonly,8,30,0,0,0,0,,,0,2247,0,416,0.312,0.050,0.529,2.466,1.492
paraonly,8,31,0,0,0,0,,,0,2267,0,396,0.376,0.090,0.259,2.670,1.532
paraonly,8,32,0,0,0,0,,,0,2254,0,408,0.285,0.083,0.696,2.783,1.471
paraonly,4,1,9,0,320,0,0.200,0,10,3314,0,1476,0.546,0.016,0.390,1.671,1.362
paraonly,4,2,11,0,338,0,0.143,0,7,3197,0,1594,0.647,0.068,0.306,1.831,1.358
paraonly,4,3,7,0,83,0,1,0,1,3308,0,1486,0.582,0.030,0.325,1.875,1.388
paraonly,4,4,12,0,143,0,0.400,0,5,3289,0,1506,0.619,0.017,0.069,1.868,1.368
paraonly,4,5,18,0,309,0,0.273,0,11,3253,0,1542,0.626,0.046,0.216,1.928,1.346
paraonly,4,6,3,0,81,0,0,0,1,3251,0,1538,0.628,0.048,0.344,1.786,1.400
paraonly,4,7,6,1,213,14,0.143,0,7,3374,0,1422,0.601,0.006,0.214,1.870,1.392
paraonly,4,8,12,0,234,0,0.286,0,7,3262,0,1534,0.639,0.047,0.299,1.955,1.337
paraonly,4,9,12,0,278,0,0.250,0,8,3271,0,1514,0.575,0.034,0.296,2.015,1.433
paraonly,4,10,7,0,153,0,0.333,0,3,3266,0,1522,0.607,0.038,0.298,1.775,1.373
paraonly,4,11,11,2,331,40,0.100,0,10,3284,0,1506,0.650,0.021,0.146,1.799,1.344
paraonly,4,12,5,0,49,0,0,0,2,3282,0,1516,0.619,0.053,0.153,1.794,1.382
paraonly,4,13,6,0,166,0,0,0,4,3244,0,1550,0.639,0.065,0.356,1.789,1.396
paraonly,4,14,5,0,86,0,0,0,3,3307,0,1486,0.593,0.032,0.271,1.903,1.383
paraonly,4,15,10,0,209,0,0.400,0,5,3305,0,1490,0.650,0.057,0.078,2.023,1.405
paraonly,4,16,8,1,176,107,0.222,0,9,3209,0,1584,0.599,0.026,0.344,2.001,1.409
paraonly,4,17,9,0,198,0,0.400,0,5,3316,0,1472,0.588,0.049,0.221,1.840,1.362
paraonly,4,18,6,0,164,0,0.250,0,4,3247,0,1546,0.610,0.044,0.282,1.875,1.412
paraonly,4,19,8,0,264,0,0,0,6,3258,0,1534,0.601,0.030,0.391,1.891,1.388
paraonly,4,20,6,0,118,0,0,0,3,3242,0,1548,0.596,-0.016,0.233,2.044,1.419
paraonly,4,21,6,0,110,0,0,0,2,3252,0,1536,0.604,-0.002,0.153,1.936,1.369
paraonly,4,22,5,0,196,0,0.200,0,5,3249,0,1546,0.599,0.013,0.202,1.934,1.393
paraonly,4,23,9,0,271,0,0.143,0,7,3282,0,1508,0.614,0.020,0.095,1.980,1.380
paraonly,4,24,9,1,370,6,0.222,0,9,3256,0,1538,0.602,0.037,0.279,1.983,1.419
paraonly,4,25,5,0,156,0,0,0,4,3227,0,1564,0.617,0.033,0.191,1.918,1.376
paraonly,4,26,11,0,345,0,0,0,10,3299,0,1488,0.629,-0.005,0.314,1.849,1.438
paraonly,4,27,6,0,87,0,0,0,3,3308,0,1486,0.619,0.016,0.090,2.009,1.421
paraonly,4,28,3,0,84,0,0,0,2,3245,0,1544,0.597,0.032,0.099,1.830,1.392
paraonly,4,29,4,0,93,0,0,0,4,3277,0,1518,0.614,0.071,0.410,1.948,1.383
paraonly,4,30,13,0,248,0,0,0,7,3219,0,1572,0.612,-0.000,0.213,1.632,1.362
paraonly,4,31,4,0,121,0,0,0,2,3325,0,1472,0.636,0.011,0.114,1.923,1.407
paraonly,4,32,5,0,71,0,0,0,2,3197,0,1594,0.656,0.069,0.288,1.831,1.390
paraonly,2,1,206,26,7231,260,0.167,0,203,5634,0,2284,0.795,0.014,,1.442,1.206
paraonly,2,2,219,26,7548,183,0.183,0,213,5619,0,2300,0.775,0.073,0.467,1.419,1.221
paraonly,2,3,196,30,7507,257,0.153,0,202,5625,0,2280,0.767,0.067,0.901,1.395,1.218
paraonly,2,4,215,28,7914,182,0.103,0,213,5758,0,2142,0.757,0.000,,1.408,1.242
paraonly,2,5,208,33,8692,227,0.179,0,240,5803,0,2080,0.785,0.064,0.486,1.458,1.228
paraonly,2,6,197,34,8957,218,0.106,0,245,5817,0,2072,0.731,0.058,,1.364,1.179
paraonly,2,7,179,32,6267,238,0.191,0,173,5436,0,2494,0.762,0.010,0.943,1.589,1.255
paraonly,2,8,188,20,7287,120,0.141,0,192,5505,0,2402,0.761,0.130,0.451,1.581,1.248
paraonly,2,9,177,32,6436,246,0.109,0,183,5448,0,2462,0.761,0.018,0.653,1.522,1.215
paraonly,2,10,207,28,7308,203,0.188,0,218,5665,0,2248,0.740,0.162,0.150,1.551,1.274
paraonly,2,11,201,21,6968,120,0.162,0,197,5524,0,2396,0.787,0.155,0.553,1.569,1.219
paraonly,2,12,203,30,8929,196,0.124,0,242,5803,0,2086,0.760,0.108,0.465,1.538,1.251
paraonly,2,13,209,23,8680,220,0.169,0,242,5721,0,2180,0.772,0.019,,1.482,1.196
paraonly,2,14,209,36,7049,262,0.207,0,208,5629,0,2282,0.751,0.054,0.549,1.561,1.208
paraonly,2,15,196,19,8142,104,0.112,0,224,5663,0,2244,0.793,0.055,,1.529,1.214
paraonly,2,16,189,27,7121,213,0.135,0,200,5486,0,2418,0.769,0.029,0.221,1.521,1.256
paraonly,2,17,184,16,7218,76,0.155,0,194,5515,0,2398,0.780,0.181,0.217,1.615,1.277
paraonly,2,18,242,25,8292,188,0.154,0,228,5775,0,2126,0.756,0.160,0.247,1.641,1.178
paraonly,2,19,231,24,8251,240,0.176,0,233,5812,0,2106,0.775,0.073,,1.501,1.235
paraonly,2,20,191,31,6486,282,0.175,0,183,5497,0,2434,0.770,0.060,0.235,1.566,1.250
