arm,m,seed,tape_lastq,runmean_lastq
base,3,52,12.108,3.455
base,3,53,12.008,3.466
base,3,54,3.992,2.621
base,3,55,4.500,2.577
base,3,56,4.475,2.547
base,3,57,6.218,2.490
base,3,58,5.575,2.575
base,3,59,3.758,2.576
base,3,60,10.783,3.081
base,3,61,4.314,2.791
base,3,62,4.592,2.527
base,3,63,4.900,2.455
base,3,64,11.383,3.354
base,4,1,15.942,4.934
base,4,2,15.492,4.346
base,4,3,5.175,2.829
base,4,4,5.283,3.074
base,4,5,5.542,2.906
base,4,6,6.892,2.799
base,4,7,15.850,5.281
base,4,8,15.767,4.805
base,4,9,6.658,3.116
base,4,10,6.958,2.970
base,4,11,15.833,4.549
base,4,12,6.042,3.150
base,4,13,15.758,4.884
base,4,14,15.625,4.747
base,4,15,6.850,2.917
base,4,16,15.517,4.278
base,4,17,15.792,4.724
base,4,18,15.758,4.961
base,4,19,15.767,5.047
base,4,20,6.225,3.070
base,4,21,16.258,5.067
base,4,22,15.958,4.761
base,4,23,7.133,3.037
base,4,24,6.167,3.034
base,4,25,4.742,2.918
base,4,26,15.367,4.308
base,4,27,7.375,2.904
base,4,28,6.392,2.780
base,4,29,16.325,5.167
base,4,30,7.400,2.939
base,4,31,5.175,2.805
base,4,32,5.408,2.779
base,4,33,15.917,4.696
base,4,34,15.933,5.062
base,4,35,15.917,5.005
base,4,36,5.983,2.923
base,4,37,15.883,5.135
base,4,38,15.392,4.402
base,4,39,6.725,2.888
base,4,40,15.858,4.683
base,4,41,15.850,5.118
base,4,42,16.000,5.116
base,4,43,5.417,2.686
base,4,44,6.200,2.782
base,4,45,15.925,4.914
base,4,46,6.725,2.804
base,4,47,4.767,3.027
base,4,48,15.742,4.646
base,4,49,15.450,4.377
base,4,50,6.883,3.117
base,4,51,6.567,3.197
base,4,52,4.767,2.783
base,4,53,5.742,2.896
base,4,54,5.592,2.809
base,4,55,16.008,4.529
base,4,56,15.725,4.634
base,4,57,15.942,4.954
base,4,58,6.133,2.765
base,4,59,4.933,2.982
base,4,60,15.908,4.608
base,4,61,15.625,4.577
base,4,62,5.792,2.879
base,4,63,5.150,3.022
base,4,64,15.492,4.379
base,5,1,17.692,6.812
base,5,2,17.633,6.527
base,5,3,9.933,2.933
base,5,4,10.725,3.032
base,5,5,11.683,3.382
base,5,6,17.950,7.264
base,5,7,9.775,2.987
base,5,8,17.708,6.602
base,5,9,17.575,6.484
base,5,10,11.250,3.525
base,5,11,10.042,2.988
base,5,12,10.908,3.256
base,5,13,17.700,6.603
base,5,14,11.125,3.126
base,5,15,17.967,7.114
base,5,16,9.817,2.960
base,5,17,17.800,7.253
base,5,18,11.300,3.400
base,5,19,17.658,6.460
base,5,20,10.458,3.186
base,5,21,17.592,6.566
base,5,22,10.833,3.139
base,5,23,10.592,2.990
base,5,24,17.642,6.597
base,5,25,17.908,7.456
base,5,26,18.025,7.497
base,5,27,17.658,6.784
base,5,28,10.017,3.023
base,5,29,17.942,7.239
base,5,30,17.792,6.773
base,5,31,17.925,7.219
base,5,32,17.758,6.960
base,5,33,10.333,2.944
base,5,34,11.767,3.280
base,5,35,10.408,3.153
base,5,36,17.758,6.658
base,5,37,9.625,2.963
base,5,38,10.300,3.025
base,5,39,17.842,7.115
base,5,40,10.058,2.887
base,5,41,17.517,6.393
base,5,42,10.417,3.018
base,5,43,10.667,3.091
base,5,44,10.717,3.240
base,5,45,10.733,3.106
base,5,46,18.058,7.309
base,5,47,17.883,6.981
base,5,48,11.325,3.099
base,5,49,10.483,3.105
base,5,50,11.317,3.302
base,5,51,10.592,3.113
base,5,52,18.017,7.526
base,5,53,9.925,3.016
base,5,54,10.675,3.132
base,5,55,10.792,3.229
base,5,56,17.958,7.116
base,5,57,18.058,7.745
base,5,58,17.742,6.506
base,5,59,10.550,3.192
base,5,60,10.392,2.912
base,5,61,17.825,7.030
base,5,62,17.742,7.096
base,5,63,10.742,3.012
base,5,64,17.467,6.401
base,6,1,18.950,9.208
base,6,2,18.517,8.505
base,6,3,13.075,3.476
base,6,4,18.517,8.702
base,6,5,18.700,8.862
base,6,6,13.483,3.657
base,6,7,18.650,9.001
base,6,8,14.067,3.907
base,6,9,18.392,8.105
base,6,10,18.650,8.738
base,6,11,18.575,8.326
base,6,12,18.592,9.392
base,6,13,13.767,3.845
base,6,14,18.742,9.285
base,6,15,13.775,3.655
base,6,16,18.742,9.565
base,6,17,18.758,8.969
base,6,18,13.842,3.930
base,6,19,13.033,3.410
base,6,20,18.850,9.361
base,6,21,18.733,9.172
base,6,22,13.408,3.382
base,6,23,14.042,3.917
base,6,24,18.633,8.140
base,6,25,13.600,3.689
base,6,26,13.658,3.868
base,6,27,18.792,9.246
base,6,28,13.558,3.763
base,6,29,18.717,9.146
base,6,30,18.833,9.075
base,6,31,13.350,3.759
base,6,32,18.808,9.286
base,6,33,14.200,3.965
base,6,34,13.733,3.897
base,6,35,18.875,10.184
base,6,36,18.667,9.017
base,6,37,18.758,9.092
base,6,38,12.858,3.469
base,6,39,18.750,8.865
base,6,40,18.808,9.234
base,6,41,18.500,8.360
base,6,42,13.100,3.444
base,6,43,13.600,3.799
base,6,44,18.625,8.504
base,6,45,18.950,9.640
base,6,46,14.475,4.232
base,6,47,18.575,8.483
base,6,48,18.700,9.495
base,6,49,18.583,8.534
base,6,50,13.700,3.689
base,6,51,14.608,4.518
