init,m,mu,seed,winner,t_death,path,t_birth1,t_birth2,t_birth3,births1,births2,births3,mutations,fitness_lastq,share1,share2,share3,pokes
slow,8,0.010,6,FIX1,,3>2>1,288,139,1,2088,78,109,2033,0.962,0.935,0.032,0.033,3555
slow,8,0.010,7,FIX1,,3>1>2>1,169,131,1,2101,88,80,1973,0.967,0.942,0.034,0.024,3555
slow,8,0.010,8,FIX1,,3>1,171,153,1,2187,89,75,1960,0.974,0.954,0.025,0.021,3555
slow,8,0.010,9,FIX1,,3>1>2>1,314,136,1,2086,107,101,2071,0.959,0.927,0.042,0.030,3555
slow,8,0.010,10,FIX1,,3>1,139,1081,1,2134,116,105,2028,0.956,0.922,0.047,0.031,3555
slow,8,0.010,11,FIX1,,3>1,148,590,1,2136,77,110,1982,0.969,0.947,0.025,0.028,3555
slow,8,0.010,12,FIX1,,3>1>2>1,131,139,1,2087,101,63,2096,0.966,0.940,0.035,0.025,3555
slow,8,0.010,13,FIX1,,3>1,131,148,1,2095,94,87,2075,0.959,0.928,0.041,0.032,3555
slow,8,0.010,14,FIX1,,3>2>1,248,144,1,2166,100,90,1938,0.962,0.935,0.032,0.034,3555
slow,8,0.010,15,FIX1,,3>1,179,214,1,2118,96,83,2008,0.973,0.955,0.022,0.023,3555
slow,8,0.010,16,FIX1,,3>2>1,609,308,1,2113,117,106,2001,0.954,0.921,0.043,0.036,3555
slow,8,0.010,17,FIX1,,3>1,148,181,1,2135,95,88,2038,0.965,0.938,0.037,0.025,3555
slow,8,0.010,18,FIX1,,3>1,166,940,1,2091,99,95,2053,0.961,0.933,0.034,0.033,3555
slow,8,0.010,19,FIX1,,3>1,130,212,1,2122,92,71,2092,0.965,0.938,0.039,0.023,3555
slow,8,0.010,20,FIX1,,3>1,131,166,1,2148,116,97,2088,0.955,0.923,0.041,0.037,3555
slow,8,0.010,21,FIX1,,3>1,177,418,1,2174,78,110,2068,0.963,0.937,0.031,0.032,3555
slow,8,0.010,22,FIX1,,3>1,157,131,1,2142,79,93,2067,0.965,0.940,0.030,0.030,3555
slow,8,0.010,23,FIX1,,3>1,139,195,1,2089,104,107,2064,0.960,0.931,0.036,0.033,3555
slow,8,0.010,24,FIX1,,3>1,355,130,1,2056,113,99,2094,0.963,0.936,0.036,0.028,3555
slow,2,0.001,1,FIX1,,3>1,140,592,1,4713,15,27,65,0.999,0.998,0.000,0.002,10666
slow,2,0.001,2,DEAD,219,3,,,1,0,0,15,6,0.333,0.000,0.000,1.000,31
slow,2,0.001,3,DEAD,240,3,,,1,0,0,15,2,0.333,0.000,0.000,1.000,38
slow,2,0.001,4,DEAD,219,3,,,1,0,0,14,5,0.333,0.000,0.000,1.000,31
slow,2,0.001,5,DEAD,231,3,176,,1,1,0,15,7,0.333,0.000,0.000,1.000,35
slow,2,0.001,6,DEAD,228,3,,,1,0,0,14,3,0.333,0.000,0.000,1.000,34
slow,2,0.001,7,DEAD,231,3,,,1,0,0,19,3,0.333,0.000,0.000,1.000,35
slow,2,0.001,8,DEAD,237,3,,,1,0,0,13,6,0.333,0.000,0.000,1.000,37
slow,2,0.001,9,DEAD,237,3,,,1,0,0,16,4,0.333,0.000,0.000,1.000,37
slow,2,0.001,10,FIX1,,3>1,158,3869,1,4820,7,21,75,0.998,0.996,0.002,0.002,10666
slow,2,0.001,11,FIX1,,3>1,172,2578,1,4781,9,27,68,0.998,0.997,0.002,0.001,10666
slow,2,0.001,12,DEAD,237,3,,,1,0,0,15,3,0.333,0.000,0.000,1.000,37
slow,2,0.001,13,FIX1,,3>1,130,1331,1,4770,15,31,78,0.998,0.996,0.002,0.002,10666
slow,2,0.001,14,DEAD,234,3,163,,1,1,0,13,7,0.333,0.000,0.000,1.000,36
slow,2,0.001,15,DEAD,240,3,,148,1,0,4,10,9,0.375,0.000,0.250,0.750,38
slow,2,0.001,16,DEAD,228,3,,,1,0,0,15,2,0.333,0.000,0.000,1.000,34
slow,2,0.001,17,DEAD,219,3,,,1,0,0,15,1,0.333,0.000,0.000,1.000,31
slow,2,0.001,18,FIX1,,3>1,140,178,1,4776,26,15,66,0.998,0.997,0.001,0.002,10666
slow,2,0.001,19,DEAD,252,3,,,1,0,0,16,4,0.333,0.000,0.000,1.000,42
slow,2,0.001,20,DEAD,231,3,,,1,0,0,16,3,0.333,0.000,0.000,1.000,35
slow,2,0.001,21,DEAD,237,3,197,,1,1,0,13,3,0.524,0.286,0.000,0.714,37
slow,2,0.001,22,DEAD,237,3,,,1,0,0,14,2,0.333,0.000,0.000,1.000,37
slow,2,0.001,23,DEAD,240,3,,,1,0,0,13,1,0.333,0.000,0.000,1.000,38
slow,2,0.001,24,DEAD,243,3,,,1,0,0,16,2,0.333,0.000,0.000,1.000,39
slow,2,0.003,1,DEAD,237,3,167,149,1,1,4,10,10,0.433,0.100,0.200,0.700,37
slow,2,0.003,2,FIX1,,3>1,148,992,1,4626,69,53,236,0.990,0.983,0.012,0.005,10666
slow,2,0.003,3,DEAD,240,3,161,,1,2,0,16,6,0.333,0.000,0.000,1.000,38
slow,2,0.003,4,FIX1,,3>1,131,3752,1,4745,58,44,206,0.990,0.981,0.014,0.005,10666
slow,2,0.003,5,DEAD,234,3,,179,1,0,1,14,21,0.333,0.000,0.000,1.000,36
slow,2,0.003,6,DEAD,228,3,,,1,0,0,13,13,0.333,0.000,0.000,1.000,34
slow,2,0.003,7,DEAD,246,3,196,160,1,1,3,14,18,0.500,0.200,0.200,0.600,40
slow,2,0.003,8,DEAD,222,3,,131,1,0,2,12,9,0.357,0.000,0.143,0.857,32
slow,2,0.003,9,DEAD,246,3,206,133,1,4,2,15,12,0.458,0.125,0.250,0.625,40
slow,2,0.003,10,FIX1,,3>1>2>1,158,154,1,4715,57,50,216,0.991,0.985,0.008,0.007,10666
slow,2,0.003,11,DEAD,249,3,,130,1,0,1,14,13,0.333,0.000,0.000,1.000,41
slow,2,0.003,12,DEAD,25506,3>1>2>1>2,143,151,1,3726,69,45,183,0.975,0.952,0.039,0.009,8460
slow,2,0.003,13,DEAD,267,3,145,130,1,5,4,12,14,0.456,0.111,0.292,0.597,47
slow,2,0.003,14,FIX1,,3>1,173,2758,1,4703,47,56,225,0.990,0.982,0.008,0.009,10666
slow,2,0.003,15,FIX1,,3>1,137,143,1,4688,60,39,211,0.990,0.982,0.011,0.007,10666
slow,2,0.003,16,DEAD,237,3>2,,130,1,0,8,8,11,0.429,0.000,0.571,0.429,37
slow,2,0.003,17,FIX1,,3>1>2>1,148,151,1,4636,72,62,188,0.982,0.968,0.021,0.012,10666
slow,2,0.003,18,DEAD,4425,3>1>2,187,154,1,608,15,25,37,0.940,0.883,0.109,0.008,1433
slow,2,0.003,19,DEAD,252,3,,137,1,0,3,12,10,0.350,0.000,0.100,0.900,42
slow,2,0.003,20,DEAD,231,3,,142,1,0,4,12,13,0.357,0.000,0.143,0.857,35
slow,2,0.003,21,DEAD,237,3,,152,1,0,1,15,7,0.333,0.000,0.000,1.000,37
slow,2,0.003,22,FIX1,,3>1,136,289,1,4680,48,57,226,0.989,0.981,0.012,0.007,10666
slow,2,0.003,23,FIX1,,3>1,161,1349,1,4711,38,45,220,0.996,0.993,0.003,0.004,10666
slow,2,0.003,24,DEAD,243,3,,,1,0,0,14,14,0.354,0.000,0.125,0.875,39
slow,2,0.010,1,DEAD,288,3>1>3,134,130,1,10,5,7,32,0.719,0.548,0.125,0.327,54
slow,2,0.010,2,DEAD,10971,3>1>2,146,133,1,1441,77,50,262,0.949,0.907,0.066,0.027,3615
slow,2,0.010,3,FIX1,,3>1,142,442,1,4411,181,143,670,0.970,0.947,0.033,0.020,10666
slow,2,0.010,4,DEAD,243,3,158,142,1,2,3,14,24,0.417,0.000,0.500,0.500,39
slow,2,0.010,5,DEAD,261,3,161,131,1,2,8,8,39,0.435,0.056,0.389,0.556,45
slow,2,0.010,6,DEAD,29946,3>1,163,139,1,4122,185,127,635,0.967,0.944,0.026,0.030,9940
slow,2,0.010,7,DEAD,243,3,136,131,1,4,3,11,35,0.438,0.125,0.125,0.750,39
slow,2,0.010,8,DEAD,252,3,,134,1,0,5,8,22,0.392,0.050,0.150,0.800,42
slow,2,0.010,9,DEAD,11208,3>1>2>1>2,146,136,1,1505,103,51,285,0.947,0.897,0.092,0.011,3694
slow,2,0.010,10,DEAD,14439,3>1>2>1,154,146,1,1990,105,66,310,0.960,0.927,0.050,0.023,4771
slow,2,0.010,11,DEAD,5409,3>1>2>1,146,182,1,703,34,31,134,0.949,0.922,0.006,0.072,1761
slow,2,0.010,12,DEAD,6168,3>1>2,131,224,1,815,54,29,157,0.934,0.875,0.105,0.021,2014
slow,2,0.010,13,DEAD,2910,3>1>2>1,131,134,1,379,19,21,98,0.911,0.842,0.101,0.057,928
