lambda,wi,wr,seed,events,score,extinct
0.4375,14,32,52,50000,98,0
0.4375,14,32,53,25,-1,1
0.4375,14,32,54,1,-1,1
0.4375,14,32,55,1,-1,1
0.4375,14,32,56,1,-1,1
0.4375,14,32,57,7,-1,1
0.4375,14,32,58,50000,92,0
0.4375,14,32,59,1,-1,1
0.4375,14,32,60,5,-1,1
0.4375,14,32,61,50000,102,0
0.4375,14,32,62,50000,118,0
0.4375,14,32,63,5,-1,1
0.4375,14,32,64,3073,-1,1
0.4375,14,32,65,1,-1,1
0.4375,14,32,66,1,-1,1
0.4375,14,32,67,3,-1,1
0.4375,14,32,68,179,-1,1
0.4375,14,32,69,13,-1,1
0.4375,14,32,70,237,-1,1
0.4375,14,32,71,50000,146,0
0.4375,14,32,72,1,-1,1
0.4375,14,32,73,1,-1,1
0.4375,14,32,74,50000,108,0
0.4375,14,32,75,1,-1,1
0.4375,14,32,76,1,-1,1
0.4375,14,32,77,1,-1,1
0.4375,14,32,78,13,-1,1
0.4375,14,32,79,1,-1,1
0.4375,14,32,80,3,-1,1
0.4375,14,32,81,15,-1,1
0.4375,14,32,82,9,-1,1
0.4375,14,32,83,50000,90,0
0.4375,14,32,84,1,-1,1
0.4375,14,32,85,11,-1,1
0.4375,14,32,86,5,-1,1
0.4375,14,32,87,1,-1,1
0.4375,14,32,88,1,-1,1
0.4375,14,32,89,35,-1,1
0.4375,14,32,90,3,-1,1
0.4375,14,32,91,3,-1,1
0.4375,14,32,92,50000,44,0
0.4375,14,32,93,61,-1,1
0.4375,14,32,94,1,-1,1
0.4375,14,32,95,50000,92,0
0.4375,14,32,96,3,-1,1
0.4375,14,32,97,101,-1,1
0.4375,14,32,98,1,-1,1
0.4375,14,32,99,25,-1,1
0.4375,14,32,100,1,-1,1
0.4375,14,32,101,3,-1,1
0.4375,14,32,102,1,-1,1
0.4375,14,32,103,3,-1,1
0.4375,14,32,104,1,-1,1
0.4375,14,32,105,45,-1,1
0.4375,14,32,106,31,-1,1
0.4375,14,32,107,1,-1,1
0.4375,14,32,108,5,-1,1
0.4375,14,32,109,7,-1,1
0.4375,14,32,110,50000,40,0
0.4375,14,32,111,167,-1,1
0.4375,14,32,112,1,-1,1
0.4375,14,32,113,3,-1,1
0.4375,14,32,114,7,-1,1
0.4375,14,32,115,1,-1,1
0.4375,14,32,116,1,-1,1
0.4375,14,32,117,50000,118,0
0.4375,14,32,118,125,-1,1
0.4375,14,32,119,1,-1,1
0.4375,14,32,120,17,-1,1
0.4375,14,32,121,29,-1,1
0.4375,14,32,122,91,-1,1
0.4375,14,32,123,1,-1,1
0.4375,14,32,124,50000,130,0
0.4375,14,32,125,1,-1,1
0.4375,14,32,126,1,-1,1
0.4375,14,32,127,50000,164,0
0.4375,14,32,128,1,-1,1
0.4375,14,32,129,50000,98,0
0.4375,14,32,130,1,-1,1
0.4375,14,32,131,50000,122,0
0.4375,14,32,132,1,-1,1
0.4375,14,32,133,50000,60,0
0.4375,14,32,134,89,-1,1
0.4375,14,32,135,27,-1,1
0.4375,14,32,136,1,-1,1
0.4375,14,32,137,1,-1,1
0.4375,14,32,138,81,-1,1
0.4375,14,32,139,1,-1,1
0.4375,14,32,140,1,-1,1
0.4375,14,32,141,1,-1,1
0.4375,14,32,142,50000,82,0
0.4375,14,32,143,50000,126,0
0.4375,14,32,144,1,-1,1
0.4375,14,32,145,50000,90,0
0.4375,14,32,146,1,-1,1
0.4375,14,32,147,1,-1,1
0.4375,14,32,148,1,-1,1
0.4375,14,32,149,3,-1,1
0.4375,14,32,150,1,-1,1
0.4375,14,32,151,1,-1,1
0.4375,14,32,152,19,-1,1
0.4375,14,32,153,1,-1,1
0.4375,14,32,154,50000,82,0
0.4375,14,32,155,5,-1,1
0.4375,14,32,156,939,-1,1
0.4375,14,32,157,7,-1,1
0.4375,14,32,158,9,-1,1
0.4375,14,32,159,3,-1,1
0.4375,14,32,160,1,-1,1
0.4375,14,32,161,1,-1,1
0.4375,14,32,162,59,-1,1
0.4375,14,32,163,27,-1,1
0.4375,14,32,164,1,-1,1
0.4375,14,32,165,25,-1,1
0.4375,14,32,166,3,-1,1
0.4375,14,32,167,1,-1,1
0.4375,14,32,168,1,-1,1
0.4375,14,32,169,1,-1,1
0.4375,14,32,170,50000,88,0
0.4375,14,32,171,1,-1,1
0.4375,14,32,172,1,-1,1
0.4375,14,32,173,9,-1,1
0.4375,14,32,174,397,-1,1
0.4375,14,32,175,1,-1,1
0.4375,14,32,176,1,-1,1
0.4375,14,32,177,2225,-1,1
0.4375,14,32,178,3,-1,1
