p,threads,seed,events,size
0.55,1,134,691,345
0.55,1,135,3229,1614
0.55,1,136,3653,1826
0.55,1,137,3,1
0.55,1,138,3225,1612
0.55,1,139,3015,1507
0.55,1,140,3307,1653
0.55,1,141,3059,1529
0.55,1,142,2863,1431
0.55,1,143,3345,1672
0.55,1,144,1,0
0.55,1,145,1,0
0.55,1,146,1357,678
0.55,1,147,7,3
0.55,1,148,3609,1804
0.55,1,149,2583,1291
0.55,1,150,1,0
0.55,1,151,3577,1788
0.55,1,152,2593,1296
0.55,1,153,3731,1865
0.55,1,154,3535,1767
0.55,1,155,3371,1685
0.55,1,156,1,0
0.55,1,157,1,0
0.55,1,158,3461,1730
0.55,1,159,25,12
0.55,1,160,5,2
0.55,1,161,1,0
0.55,1,162,1873,936
0.55,1,163,3609,1804
0.55,1,164,3543,1771
0.55,1,165,3,1
0.55,1,166,3381,1690
0.55,1,167,5,2
0.55,1,168,1,0
0.55,1,169,7,3
0.55,1,170,3479,1739
0.55,1,171,3305,1652
0.55,1,172,3491,1745
0.55,1,173,2747,1373
0.55,1,174,5,2
0.55,1,175,3437,1718
0.55,1,176,3539,1769
0.55,1,177,3131,1565
0.55,1,178,55,27
0.55,1,179,3387,1693
0.55,1,180,1,0
0.55,1,181,3227,1613
0.55,1,182,3337,1668
0.55,1,183,2939,1469
0.55,1,184,3501,1750
0.55,1,185,1,0
0.55,1,186,1799,899
0.55,1,187,3553,1776
0.55,1,188,3463,1731
0.55,1,189,3499,1749
0.55,1,190,3,1
0.55,1,191,3229,1614
0.55,1,192,3241,1620
0.55,1,193,523,261
0.55,1,194,3589,1794
0.55,1,195,3,1
0.55,1,196,3533,1766
0.55,1,197,3437,1718
0.55,1,198,23,11
0.55,1,199,3719,1859
0.55,1,200,3773,1886
0.60,1,1,3925,1962
0.60,1,2,3863,1931
0.60,1,3,3791,1895
0.60,1,4,3769,1884
0.60,1,5,3897,1948
0.60,1,6,1,0
0.60,1,7,1,0
0.60,1,8,3879,1939
0.60,1,9,3695,1847
0.60,1,10,3871,1935
0.60,1,11,3727,1863
0.60,1,12,3843,1921
0.60,1,13,3765,1882
0.60,1,14,3611,1805
0.60,1,15,3737,1868
0.60,1,16,3685,1842
0.60,1,17,3913,1956
0.60,1,18,1,0
0.60,1,19,3777,1888
0.60,1,20,25,12
0.60,1,21,3833,1916
0.60,1,22,3741,1870
0.60,1,23,3905,1952
0.60,1,24,1,0
0.60,1,25,5,2
0.60,1,26,3805,1902
0.60,1,27,3949,1974
0.60,1,28,95,47
0.60,1,29,3897,1948
0.60,1,30,1,0
0.60,1,31,3831,1915
0.60,1,32,3795,1897
0.60,1,33,3823,1911
0.60,1,34,3827,1913
0.60,1,35,3927,1963
0.60,1,36,59,29
0.60,1,37,3827,1913
0.60,1,38,3893,1946
0.60,1,39,3923,1961
0.60,1,40,3843,1921
0.60,1,41,1,0
0.60,1,42,3765,1882
0.60,1,43,3809,1904
0.60,1,44,3827,1913
0.60,1,45,3751,1875
0.60,1,46,3921,1960
0.60,1,47,1,0
0.60,1,48,3841,1920
0.60,1,49,3917,1958
0.60,1,50,3837,1918
0.60,1,51,3905,1952
0.60,1,52,3805,1902
0.60,1,53,1,0
0.60,1,54,3843,1921
0.60,1,55,3883,1941
0.60,1,56,3913,1956
0.60,1,57,3869,1934
0.60,1,58,1,0
0.60,1,59,3885,1942
0.60,1,60,3883,1941
0.60,1,61,7,3
0.60,1,62,3909,1954
0.60,1,63,3865,1932
0.60,1,64,1,0
0.60,1,65,13,6
0.60,1,66,3879,1939
0.60,1,67,3887,1943
0.60,1,68,3717,1858
0.60,1,69,1,0
0.60,1,70,1,0
0.60,1,71,3841,1920
0.60,1,72,3879,1939
