start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
γ,0.01,19,11000,23,11,3,7,3
γ,0.01,20,1000,22,22,0,0,0
γ,0.01,20,2000,23,5,13,6,0
γ,0.01,20,3000,24,19,0,3,1
γ,0.01,20,4000,24,23,1,0,0
γ,0.01,20,5000,16,0,0,15,1
γ,0.01,21,1000,24,0,23,0,0
γ,0.01,21,2000,23,23,0,0,0
γ,0.01,21,3000,23,23,0,0,0
γ,0.01,21,4000,22,24,0,0,0
γ,0.01,21,5000,24,16,5,3,0
γ,0.01,21,6000,23,8,7,7,0
γ,0.01,24,1000,23,16,5,0,1
γ,0.01,24,2000,23,22,0,0,0
γ,0.01,24,3000,22,15,7,0,0
γ,0.01,24,4000,24,23,0,0,1
γ,0.01,24,5000,24,23,0,1,0
γ,0.01,24,6000,24,15,7,0,0
γ,0.01,24,7000,24,8,14,0,1
γ,0.01,24,8000,23,24,0,0,0
γ,0.01,24,9000,23,18,6,0,0
γ,0.01,24,10000,23,2,11,10,0
γ,0.01,24,11000,23,15,7,0,0
γ,0.01,25,1000,22,16,3,3,1
γ,0.01,25,2000,23,15,8,0,0
γ,0.01,25,3000,22,10,12,0,1
γ,0.01,25,4000,24,16,0,7,0
γ,0.01,25,5000,24,24,0,0,0
γ,0.01,25,6000,24,7,6,8,1
γ,0.01,25,7000,24,20,0,3,0
γ,0.01,25,8000,23,23,0,1,0
γ,0.01,25,9000,23,24,0,0,0
γ,0.01,25,10000,24,22,1,0,1
γ,0.01,25,11000,23,9,2,12,0
γ,0.01,26,1000,23,16,6,2,0
γ,0.01,26,2000,23,12,7,2,1
γ,0.01,26,3000,24,20,0,3,0
γ,0.01,26,4000,23,14,9,0,0
γ,0.01,26,5000,24,13,11,0,0
γ,0.01,26,6000,23,9,2,12,0
γ,0.01,26,7000,22,24,0,0,0
γ,0.01,26,8000,23,15,7,1,1
γ,0.01,26,9000,24,21,1,1,0
γ,0.01,26,10000,24,4,19,0,1
γ,0.01,26,11000,24,15,9,0,0
γ,0.01,27,1000,23,20,0,2,1
γ,0.01,27,2000,24,10,6,7,0
γ,0.01,27,3000,23,19,3,0,1
γ,0.01,27,4000,23,22,1,0,0
γ,0.01,27,5000,22,20,0,4,0
γ,0.01,27,6000,24,11,13,0,0
γ,0.01,27,7000,22,14,0,8,0
γ,0.01,27,8000,24,9,11,2,1
γ,0.01,27,9000,23,22,0,2,0
γ,0.01,27,10000,23,13,0,9,0
γ,0.01,27,11000,23,13,0,10,0
γ,0.01,28,1000,23,24,0,0,0
γ,0.01,28,2000,24,22,0,1,0
γ,0.01,28,3000,23,24,0,0,0
γ,0.01,28,4000,22,15,4,3,0
γ,0.01,28,5000,23,22,0,1,0
γ,0.01,28,6000,24,20,0,3,1
γ,0.01,28,7000,23,16,0,8,0
γ,0.01,28,8000,23,23,0,0,0
γ,0.01,28,9000,23,16,7,0,0
γ,0.01,28,10000,24,21,0,2,1
γ,0.01,28,11000,23,19,5,0,0
γ,0.01,29,1000,24,20,0,3,0
γ,0.01,29,2000,23,15,0,8,0
γ,0.01,29,3000,23,23,0,0,0
γ,0.01,29,4000,21,17,3,0,0
γ,0.01,29,5000,23,20,2,0,1
γ,0.01,29,6000,23,16,4,3,0
γ,0.01,29,7000,24,21,1,0,2
γ,0.01,29,8000,24,19,0,3,0
γ,0.01,29,9000,23,2,14,7,0
γ,0.01,29,10000,19,0,3,14,1
γ,0.01,31,1000,23,15,4,1,2
γ,0.01,31,2000,22,11,8,3,0
γ,0.01,31,3000,24,0,17,6,0
γ,0.01,31,4000,23,21,0,0,1
γ,0.01,31,5000,23,16,5,3,0
γ,0.01,31,6000,24,22,2,0,0
γ,0.01,31,7000,24,17,5,2,0
γ,0.01,31,8000,23,16,8,0,0
γ,0.01,31,9000,23,19,0,5,0
γ,0.01,31,10000,24,0,20,3,1
γ,0.01,31,11000,24,21,0,2,0
γ,0.01,32,1000,24,16,8,0,0
γ,0.01,32,2000,24,21,0,2,0
γ,0.01,32,3000,24,21,2,0,0
γ,0.01,32,4000,24,12,5,6,0
γ,0.01,32,5000,24,18,0,5,0
γ,0.01,32,6000,24,19,3,0,1
γ,0.01,32,7000,23,14,4,5,0
γ,0.01,32,8000,24,22,1,0,0
γ,0.01,32,9000,23,24,0,0,0
γ,0.01,32,10000,23,24,0,0,0
γ,0.01,32,11000,23,15,1,8,0
γ,0.01,33,1000,22,10,0,14,0
γ,0.01,33,2000,23,6,11,4,0
γ,0.01,33,3000,23,19,0,5,0
γ,0.01,33,4000,24,23,0,1,0
γ,0.01,33,5000,24,5,15,3,0
γ,0.01,33,6000,23,20,0,3,0
γ,0.01,33,7000,23,19,2,1,0
γ,0.01,34,1000,23,23,1,0,0
γ,0.01,34,2000,23,17,3,2,1
γ,0.01,34,3000,23,24,0,0,0
γ,0.01,34,4000,23,16,4,3,0
γ,0.01,34,5000,22,23,0,0,0
γ,0.01,34,6000,24,18,4,1,0
γ,0.01,34,7000,23,21,0,1,1
γ,0.01,34,8000,23,13,3,7,0
γ,0.01,34,9000,24,22,0,1,1
γ,0.01,34,10000,23,18,6,0,0
γ,0.01,34,11000,23,23,0,1,0
γ,0.01,37,1000,24,12,0,11,0
γ,0.01,37,2000,23,17,7,0,0
γ,0.01,37,3000,23,18,5,0,0
γ,0.01,37,4000,24,22,0,2,0
γ,0.01,37,5000,22,21,1,2,0
γ,0.01,37,6000,23,17,0,6,0
γ,0.01,37,7000,24,17,5,0,0
γ,0.01,37,8000,24,23,0,0,0
γ,0.01,37,9000,24,21,1,0,1
γ,0.01,37,10000,24,20,2,1,0
γ,0.01,37,11000,23,14,9,0,0
γ,0.01,38,1000,23,5,14,2,1
γ,0.01,38,2000,22,16,0,5,0
γ,0.01,38,3000,23,20,0,4,0
γ,0.01,38,4000,24,19,4,0,1
γ,0.01,38,5000,24,13,6,4,0
γ,0.01,38,6000,23,23,0,0,0
γ,0.01,38,7000,24,24,0,0,0
γ,0.01,38,8000,23,12,0,10,0
γ,0.01,38,9000,24,24,0,0,0
γ,0.01,38,10000,24,16,5,1,0
γ,0.01,38,11000,24,19,3,1,0
γ,0.01,39,1000,23,21,0,0,1
γ,0.01,39,2000,21,15,0,6,1
γ,0.01,39,3000,23,18,4,1,0
γ,0.01,39,4000,24,18,3,2,0
γ,0.01,39,5000,24,10,14,0,0
γ,0.01,39,6000,23,7,16,0,0
γ,0.01,39,7000,23,21,0,0,2
γ,0.01,39,8000,24,23,0,0,0
γ,0.01,39,9000,22,12,11,0,0
γ,0.01,39,10000,23,7,1,13,1
γ,0.01,39,11000,23,20,3,0,0
γ,0.01,41,1000,23,22,0,0,0
γ,0.01,41,2000,23,19,2,0,2
γ,0.01,41,3000,24,23,0,0,0
