cell,seed,dom,alive,fuel,hoard
carrion_t_k2,58,DEAD,0,24,α:2.86;β:4.63
carrion_t_k2,59,DEAD,0,24,α:3.46;β:3.27
carrion_t_k2,60,DEAD,0,24,α:4.38;β:4.22
carrion_t_k8,1,DEAD,0,24,α:3.24;β:3.31
carrion_t_k8,2,DEAD,0,24,α:4.26;β:4.47
carrion_t_k8,3,DEAD,0,24,α:4.31;β:4.59
carrion_t_k8,4,DEAD,0,24,α:3.83;β:2.98
carrion_t_k8,5,DEAD,0,24,α:4.76;β:4.76
carrion_t_k8,6,DEAD,0,24,α:2.92;β:3.39
carrion_t_k8,7,DEAD,0,24,α:5.08;β:4.00
carrion_t_k8,8,DEAD,0,24,α:2.77;β:2.67
carrion_t_k8,9,DEAD,0,24,α:4.06;β:3.04
carrion_t_k8,10,DEAD,0,24,α:3.47;β:3.76
carrion_t_k8,11,DEAD,0,24,α:3.60;β:4.40
carrion_t_k8,12,DEAD,0,24,α:4.53;β:3.60
carrion_t_k8,13,DEAD,0,24,α:3.19;β:4.45
carrion_t_k8,14,DEAD,0,24,α:4.69;β:4.34
carrion_t_k8,15,DEAD,0,24,α:3.02;β:3.62
carrion_t_k8,16,DEAD,0,24,α:3.80;β:3.64
carrion_t_k8,17,DEAD,0,24,α:3.38;β:4.29
carrion_t_k8,18,DEAD,0,24,α:3.55;β:4.33
carrion_t_k8,19,DEAD,0,24,α:3.39;β:3.67
carrion_t_k8,20,DEAD,0,24,α:2.90;β:3.09
carrion_t_k8,21,DEAD,0,24,α:3.98;β:4.17
carrion_t_k8,22,DEAD,0,24,α:4.32;β:2.57
carrion_t_k8,23,DEAD,0,24,α:3.70;β:2.92
carrion_t_k8,24,DEAD,0,24,α:3.39;β:4.34
carrion_t_k8,25,DEAD,0,24,α:3.76;β:4.29
carrion_t_k8,26,DEAD,0,24,α:3.20;β:4.73
carrion_t_k8,27,DEAD,0,24,α:4.87;β:3.97
carrion_t_k8,28,DEAD,0,24,α:3.40;β:4.67
carrion_t_k8,29,DEAD,0,24,α:4.31;β:4.86
carrion_t_k8,30,DEAD,0,24,α:3.56;β:4.00
carrion_t_k8,31,DEAD,0,24,α:4.03;β:4.72
carrion_t_k8,32,DEAD,0,24,α:4.18;β:3.00
carrion_t_k8,33,DEAD,0,24,α:3.42;β:3.12
carrion_t_k8,34,DEAD,0,24,α:4.32;β:2.47
carrion_t_k8,35,DEAD,0,24,α:3.98;β:3.98
carrion_t_k8,36,DEAD,0,24,α:4.17;β:3.57
carrion_t_k8,37,DEAD,0,24,α:3.42;β:3.02
carrion_t_k8,38,DEAD,0,24,α:3.85;β:3.40
carrion_t_k8,39,DEAD,0,24,α:3.90;β:4.72
carrion_t_k8,40,DEAD,0,24,α:3.92;β:4.81
carrion_t_k8,41,DEAD,0,24,α:4.00;β:3.88
carrion_t_k8,42,DEAD,0,24,α:3.76;β:3.22
carrion_t_k8,43,DEAD,0,24,α:3.64;β:3.76
carrion_t_k8,44,DEAD,0,24,α:5.30;β:3.49
carrion_t_k8,45,DEAD,0,24,α:3.06;β:3.73
carrion_t_k8,46,DEAD,0,24,α:3.25;β:4.16
carrion_t_k8,47,DEAD,0,24,α:4.45;β:2.45
carrion_t_k8,48,DEAD,0,24,α:2.98;β:4.26
carrion_t_k8,49,DEAD,0,24,α:3.84;β:3.27
carrion_t_k8,50,DEAD,0,24,α:5.00;β:3.76
