ring,w,seed,dom
24,1.25,65,β
24,1.25,66,β
24,1.25,67,α
24,1.25,68,β
24,1.25,69,β
24,1.25,70,β
24,1.25,71,β
24,1.25,72,β
24,1.25,73,β
24,1.25,74,β
24,1.25,75,β
24,1.25,76,β
24,1.25,77,β
24,1.25,78,β
24,1.25,79,β
24,1.25,80,β
24,1.25,81,β
24,1.25,82,β
24,1.25,83,β
24,1.25,84,β
24,1.25,85,β
24,1.25,86,β
24,1.25,87,β
24,1.25,88,β
24,1.25,89,β
24,1.25,90,β
24,1.25,91,β
24,1.25,92,β
24,1.25,93,β
24,1.25,94,α
24,1.25,95,α
24,1.25,96,β
24,1.25,97,β
24,1.25,98,β
24,1.25,99,β
24,1.25,100,β
24,1.25,101,β
24,1.25,102,α
24,1.25,103,β
24,1.25,104,β
24,1.25,105,α
24,1.25,106,β
24,1.25,107,α
24,1.25,108,α
24,1.25,109,β
24,1.25,110,β
24,1.25,111,β
24,1.25,112,β
24,1.25,113,β
24,1.25,114,β
24,1.25,115,β
24,1.25,116,β
24,1.25,117,β
24,1.25,118,β
24,1.25,119,β
24,1.25,120,β
24,1.25,121,β
24,1.25,122,β
24,1.25,123,β
24,1.25,124,β
24,1.25,125,α
24,1.25,126,α
24,1.25,127,β
24,1.25,128,β
24,1.25,129,α
24,1.25,130,β
24,1.25,131,β
24,1.25,132,α
24,1.25,133,β
24,1.25,134,β
24,1.25,135,β
24,1.25,136,α
24,1.25,137,β
24,1.25,138,β
24,1.25,139,β
24,1.25,140,β
24,1.25,141,α
24,1.25,142,β
24,1.25,143,α
24,1.25,144,β
24,1.25,145,β
24,1.25,146,α
24,1.25,147,β
24,1.25,148,β
24,1.25,149,β
24,1.25,150,β
24,1.25,151,β
24,1.25,152,β
24,1.25,153,α
24,1.25,154,β
24,1.25,155,β
24,1.25,156,β
24,1.25,157,β
24,1.25,158,α
24,1.25,159,β
24,1.25,160,β
24,1.25,161,β
24,1.25,162,β
24,1.25,163,α
24,1.25,164,β
24,1.25,165,α
24,1.25,166,α
24,1.25,167,β
24,1.25,168,β
24,1.25,169,β
24,1.25,170,β
24,1.25,171,β
24,1.25,172,β
24,1.25,173,β
24,1.25,174,β
24,1.25,175,α
24,1.25,176,β
24,1.25,177,β
24,1.25,178,β
24,1.25,179,β
24,1.25,180,β
24,1.25,181,β
24,1.25,182,β
24,1.25,183,β
24,1.25,184,β
24,1.25,185,β
24,1.25,186,β
24,1.25,187,β
24,1.25,188,α
24,1.25,189,α
24,1.25,190,α
24,1.25,191,β
24,1.25,192,β
24,1.25,193,α
24,1.25,194,β
24,1.25,195,β
24,1.25,196,β
24,1.25,197,β
24,1.25,198,β
24,1.25,199,β
24,1.25,200,α
48,1.0,1,α
48,1.0,2,α
48,1.0,3,α
48,1.0,4,α
48,1.0,5,α
48,1.0,6,α
48,1.0,7,α
48,1.0,8,α
48,1.0,9,α
48,1.0,10,α
48,1.0,11,β
48,1.0,12,α
48,1.0,13,α
48,1.0,14,α
48,1.0,15,α
48,1.0,16,α
48,1.0,17,α
48,1.0,18,α
48,1.0,19,α
48,1.0,20,α
48,1.0,21,β
48,1.0,22,α
48,1.0,23,β
48,1.0,24,α
48,1.0,25,α
48,1.0,26,α
48,1.0,27,α
48,1.0,28,α
48,1.0,29,α
48,1.0,30,α
48,1.0,31,α
48,1.0,32,α
48,1.0,33,β
48,1.0,34,α
48,1.0,35,α
48,1.0,36,α
48,1.0,37,α
48,1.0,38,α
48,1.0,39,α
48,1.0,40,α
48,1.0,41,α
48,1.0,42,α
48,1.0,43,α
48,1.0,44,β
48,1.0,45,β
48,1.0,46,α
48,1.0,47,β
48,1.0,48,α
48,1.0,49,β
48,1.0,50,α
48,1.0,51,β
48,1.0,52,α
48,1.0,53,α
48,1.0,54,α
48,1.0,55,α
48,1.0,56,α
48,1.0,57,α
48,1.0,58,α
48,1.0,59,α
48,1.0,60,α
48,1.0,61,α
48,1.0,62,α
48,1.0,63,α
48,1.0,64,α
48,1.0,65,α
48,1.0,66,α
48,1.0,67,α
48,1.0,68,α
48,1.0,69,α
48,1.0,70,β
48,1.0,71,α
48,1.0,72,α
48,1.0,73,α
48,1.0,74,α
48,1.0,75,α
48,1.0,76,α
48,1.0,77,α
48,1.0,78,α
48,1.0,79,α
48,1.0,80,α
48,1.0,81,α
48,1.0,82,α
48,1.0,83,α
48,1.0,84,α
48,1.0,85,α
48,1.0,86,α
48,1.0,87,α
48,1.0,88,α
48,1.0,89,α
48,1.0,90,α
48,1.0,91,α
48,1.0,92,β
48,1.0,93,α
48,1.0,94,β
48,1.0,95,α
48,1.0,96,α
48,1.0,97,α
48,1.0,98,α
48,1.0,99,α
48,1.0,100,α
48,1.05,1,α
48,1.05,2,α
48,1.05,3,α
48,1.05,4,β
48,1.05,5,α
48,1.05,6,α
48,1.05,7,α
48,1.05,8,α
48,1.05,9,β
48,1.05,10,α
48,1.05,11,α
48,1.05,12,β
48,1.05,13,α
48,1.05,14,β
48,1.05,15,α
48,1.05,16,α
48,1.05,17,α
48,1.05,18,α
48,1.05,19,β
48,1.05,20,α
48,1.05,21,β
48,1.05,22,β
48,1.05,23,β
48,1.05,24,α
48,1.05,25,α
48,1.05,26,β
48,1.05,27,α
48,1.05,28,α
48,1.05,29,α
48,1.05,30,α
48,1.05,31,β
48,1.05,32,β
48,1.05,33,α
48,1.05,34,α
48,1.05,35,β
48,1.05,36,α
48,1.05,37,α
48,1.05,38,α
48,1.05,39,α
48,1.05,40,α
48,1.05,41,α
48,1.05,42,α
48,1.05,43,α
48,1.05,44,β
48,1.05,45,α
48,1.05,46,α
48,1.05,47,α
48,1.05,48,α
48,1.05,49,β
48,1.05,50,α
48,1.05,51,β
48,1.05,52,β
48,1.05,53,α
48,1.05,54,α
48,1.05,55,α
48,1.05,56,α
48,1.05,57,β
48,1.05,58,α
48,1.05,59,α
48,1.05,60,β
48,1.05,61,β
48,1.05,62,α
48,1.05,63,α
48,1.05,64,α
48,1.05,65,α
48,1.05,66,α
48,1.05,67,α
48,1.05,68,α
48,1.05,69,α
48,1.05,70,α
48,1.05,71,α
48,1.05,72,α
48,1.05,73,α
48,1.05,74,α
48,1.05,75,α
48,1.05,76,α
48,1.05,77,β
48,1.05,78,α
48,1.05,79,α
48,1.05,80,α
48,1.05,81,α
48,1.05,82,α
48,1.05,83,β
48,1.05,84,α
48,1.05,85,α
48,1.05,86,α
48,1.05,87,β
48,1.05,88,α
48,1.05,89,β
48,1.05,90,α
48,1.05,91,β
48,1.05,92,β
48,1.05,93,α
48,1.05,94,α
48,1.05,95,α
