glyph,arm,seed,pre_cls,pre_p,outcome,exact
α,plain,96,FIXED,1,REPAIR,True
α,plain,97,FIXED,1,REPAIR,True
α,plain,98,FIXED,1,REPAIR,True
α,plain,99,FIXED,1,REPAIR,True
α,plain,100,FIXED,1,REPAIR,True
α,plain,101,FIXED,1,REPAIR,True
α,plain,102,FIXED,1,REPAIR,True
α,plain,103,FIXED,1,REPAIR,True
α,plain,104,FIXED,1,REPAIR,True
α,plain,105,FIXED,1,REPAIR,True
α,plain,106,FIXED,1,REPAIR,True
α,plain,107,FIXED,1,REPAIR,True
α,plain,108,FIXED,1,REPAIR,True
α,plain,109,FIXED,1,REPAIR,True
α,plain,110,FIXED,1,REPAIR,True
α,plain,111,FIXED,1,REPAIR,True
α,plain,112,FIXED,1,REPAIR,True
α,plain,113,FIXED,1,REPAIR,True
α,plain,114,FIXED,1,REPAIR,True
α,plain,115,FIXED,1,REPAIR,True
α,plain,116,FIXED,1,REPAIR,True
α,plain,117,FIXED,1,REPAIR,True
α,plain,118,FIXED,1,REPAIR,True
α,plain,119,FIXED,1,REPAIR,True
α,plain,120,FIXED,1,REPAIR,True
α,plain,121,FIXED,1,REPAIR,True
α,plain,122,FIXED,1,REPAIR,True
α,plain,123,FIXED,1,REPAIR,True
α,plain,124,FIXED,1,REPAIR,True
α,plain,125,FIXED,1,REPAIR,True
α,plain,126,FIXED,1,REPAIR,True
α,plain,127,FIXED,1,REPAIR,True
α,plain,128,FIXED,1,REPAIR,True
α,plain,129,FIXED,1,REPAIR,True
α,plain,130,FIXED,1,REPAIR,True
α,plain,131,FIXED,1,REPAIR,True
α,plain,132,FIXED,1,REPAIR,True
α,plain,133,FIXED,1,REPAIR,True
α,plain,134,FIXED,1,REPAIR,True
α,plain,135,FIXED,1,REPAIR,True
α,plain,136,FIXED,1,REPAIR,True
α,plain,137,FIXED,1,REPAIR,True
α,plain,138,FIXED,1,REPAIR,True
α,plain,139,FIXED,1,REPAIR,True
α,plain,140,FIXED,1,REPAIR,True
α,plain,141,FIXED,1,REPAIR,True
α,plain,142,FIXED,1,REPAIR,True
α,plain,143,FIXED,1,REPAIR,True
α,plain,144,FIXED,1,REPAIR,True
α,plain,145,FIXED,1,REPAIR,True
α,plain,146,FIXED,1,REPAIR,True
α,plain,147,FIXED,1,REPAIR,True
α,plain,148,FIXED,1,REPAIR,True
α,plain,149,FIXED,1,REPAIR,True
α,plain,150,FIXED,1,REPAIR,True
α,plain,151,FIXED,1,REPAIR,True
α,plain,152,FIXED,1,REPAIR,True
α,plain,153,FIXED,1,REPAIR,True
α,plain,154,FIXED,1,REPAIR,True
α,plain,155,FIXED,1,REPAIR,True
α,plain,156,FIXED,1,REPAIR,True
α,plain,157,FIXED,1,REPAIR,True
α,plain,158,FIXED,1,REPAIR,True
α,plain,159,FIXED,1,REPAIR,True
α,plain,160,FIXED,1,REPAIR,True
α,plain,161,FIXED,1,REPAIR,True
α,plain,162,FIXED,1,REPAIR,True
α,plain,163,FIXED,1,REPAIR,True
α,plain,164,FIXED,1,REPAIR,True
α,plain,165,FIXED,1,REPAIR,True
α,plain,166,FIXED,1,REPAIR,True
α,plain,167,FIXED,1,REPAIR,True
α,plain,168,FIXED,1,REPAIR,True
α,plain,169,FIXED,1,REPAIR,True
α,plain,170,FIXED,1,REPAIR,True
α,plain,171,FIXED,1,REPAIR,True
α,plain,172,FIXED,1,REPAIR,True
α,plain,173,FIXED,1,REPAIR,True
α,plain,174,FIXED,1,REPAIR,True
α,plain,175,FIXED,1,REPAIR,True
α,plain,176,FIXED,1,REPAIR,True
α,plain,177,FIXED,1,REPAIR,True
