eco,seed,dom,tape_ext,n_applies,spends,looted,repairs,q_g_spend,feeds_q,alive_q
mix,30,DEAD,545,547,α.prime:12;β.prime:12;β.f:10;α.f:72;α.g:48;β.g:8,β:4;α:8,α:63;β:8,0α:5;0β:2;1α:16;1β:6;2α:19;3α:8,32;42;41;47,24;13;16;19
mix,31,DEAD,189,193,α.prime:13;β.prime:11;β.f:6;β.g:1;α.f:13;α.g:5,,β:1;α:6,1β:1;2α:4;3α:1,0;18;15;16,24;23;15;9
mix,32,β,,728,α.prime:12;β.prime:12;α.f:16;β.f:99;β.g:71;α.g:4,β:7;α:1,β:104;α:7,0β:11;0α:4;1β:16;2β:26;3β:18,43;57;48;54,24;20;10;18
mix,33,DEAD,508,508,β.prime:14;α.prime:10;β.f:6;α.f:70;α.g:44;β.g:5,β:1;α:11,α:61;β:7,0α:1;0β:5;1α:15;2α:20;3α:8,28;34;42;45,24;16;21;21
mix,34,DEAD,153,153,β.prime:13;α.prime:11;α.f:5;β.f:4;α.g:1;β.g:2,,α:1;β:3,1α:1;2β:2,0;10;14;12,24;24;19;14
mix,35,β,,727,β.prime:14;α.prime:10;β.f:88;β.g:68;α.f:24;α.g:15,α:5;β:10,β:98;α:17,0β:4;0α:9;1β:17;1α:6;2β:30;3β:17,44;58;49;53,24;15;9;22
mix,36,DEAD,192,192,α.prime:12;β.prime:12;α.f:9;β.f:7;α.g:1;β.g:7,β:1,α:2;β:9,1α:1;2β:4;3β:3,0;18;17;13,24;24;16;11
mix,37,β,,707,β.prime:13;α.prime:11;α.f:6;β.f:104;β.g:70,β:5,β:110,0β:8;1β:25;2β:16;3β:21,46;45;53;50,24;8;20;14
mix,38,DEAD,577,577,β.prime:13;α.prime:11;α.f:83;α.g:62;β.f:3;β.g:1,α:8,α:78;β:1,0α:9;0β:1;1α:16;2α:18;3α:19,32;47;47;47,24;18;15;10
mix,39,β,,708,α.prime:12;β.prime:12;α.f:39;α.g:23;β.f:71;β.g:51,α:10;β:13,α:27;β:79,0α:8;0β:5;1β:6;1α:14;2α:1;2β:24;3β:16,43;59;49;51,24;17;9;13
mix,40,α,,727,β.prime:12;α.prime:12;β.f:13;β.g:7;α.f:107;α.g:87,β:1;α:5,β:7;α:108,0β:7;0α:4;1α:32;2α:22;3α:29,47;55;61;56,24;11;18;13
mix,41,DEAD,488,488,α.prime:12;β.prime:12;α.f:67;α.g:47;β.f:4;β.g:3,α:5,α:59;β:4,0α:5;0β:1;1α:12;1β:2;2α:15;3α:15,27;40;38;40,24;15;9;14
mix,42,DEAD,314,316,β.prime:13;α.prime:11;α.f:40;α.g:23;β.f:2;β.g:2,α:5,α:24;β:3,1α:7;1β:2;2α:14;3α:2,11;25;26;29,24;17;15;16
mix,43,α,,711,β.prime:11;α.prime:13;β.f:2;α.f:111;β.g:1;α.g:88,α:4,β:1;α:105,0β:1;0α:12;1α:24;2α:32;3α:20,44;57;56;61,24;15;15;23
mix,44,DEAD,211,212,β.prime:14;α.prime:10;α.f:2;β.f:18;β.g:7,β:1,β:13,1β:2;2β:3;3β:2,2;19;14;16,24;23;15;9
mix,45,DEAD,558,558,β.prime:11;α.prime:13;α.f:83;α.g:58,α:5,α:79,0α:3;1α:22;2α:20;3α:13,33;42;42;48,24;11;16;20
mix,46,DEAD,214,214,α.prime:12;β.prime:12;α.f:5;β.f:13;β.g:12,β:6,β:14,2β:10;3β:2,2;23;14;15,24;22;10;14
mix,47,β,,720,β.prime:12;α.prime:12;β.f:102;α.f:3;β.g:73;α.g:1,β:4,β:104;α:1,0β:11;0α:1;1β:26;2β:18;3β:18,44;51;52;55,24;14;18;17
mix,48,DEAD,567,567,β.prime:14;α.prime:10;α.f:76;β.f:8;β.g:1;α.g:64,α:8,β:2;α:70,0β:1;0α:2;1α:25;2α:23;3α:14,33;46;45;49,24;9;14;15
mix,49,DEAD,208,209,α.prime:13;β.prime:11;β.f:8;α.f:11;α.g:1;β.g:8,α:1;β:7,α:2;β:11,1α:1;2β:6;3β:2,2;20;15;15,24;22;12;13
mix,50,DEAD,203,203,β.prime:11;α.prime:13;β.f:2;α.f:17;α.g:11,,α:11,1α:2;2α:8;3α:1,0;20;17;17,24;23;15;14
mix,51,DEAD,244,248,α.prime:12;β.prime:12;β.f:3;α.f:28;α.g:11;β.g:2,α:1,α:13;β:3,1α:1;1β:2;2α:7;3α:3,5;22;21;20,24;21;13;10
mix,52,β,,709,α.prime:12;β.prime:12;α.f:12;α.g:7;β.f:99;β.g:66,β:7,α:7;β:104,0α:7;1β:22;2β:25;3β:19,46;50;49;55,24;4;9;19
mix,53,DEAD,385,385,α.prime:13;β.prime:11;α.f:20;β.f:28;α.g:15;β.g:20,α:1;β:3,α:16;β:27,0α:1;1α:11;1β:5;2β:9;2α:3;3β:6,20;27;32;28,24;14;18;15
mix,54,DEAD,300,304,α.prime:11;β.prime:13;α.f:34;β.f:3;β.g:4;α.g:19,α:4,β:4;α:23,1β:4;1α:5;2α:12;3α:2,10;26;22;26,24;19;13;17
