arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
sloppy_e001,48,False,0,12,0,12,0,-1,1181,True
sloppy_e001,49,False,0,14,0,10,0,-1,1150,True
sloppy_e001,50,False,0,14,0,10,0,-1,1567,True
sloppy_e001,51,False,0,12,0,12,0,-1,1279,True
sloppy_e001,52,False,0,14,0,10,0,-1,1135,True
sloppy_e001,53,False,0,14,0,10,0,-1,1607,True
sloppy_e001,54,False,0,14,0,10,0,-1,1336,True
sloppy_e001,55,False,0,12,0,12,0,-1,1444,True
sloppy_e001,56,False,0,12,0,12,0,-1,1706,True
sloppy_e001,57,False,0,13,0,11,0,-1,1378,True
sloppy_e001,58,False,0,13,0,11,0,-1,1438,True
sloppy_e001,59,False,0,14,0,10,0,-1,1092,True
sloppy_e001,60,False,0,13,0,11,0,-1,1612,True
sloppy_e001,61,True,21,6,18,0,23,1851,6201,True
sloppy_e001,62,False,0,14,0,10,0,-1,1142,True
sloppy_e001,63,False,0,12,0,12,0,-1,1428,True
sloppy_e001,64,False,0,14,0,10,0,-1,1345,True
sloppy_e001,65,False,0,13,0,11,0,-1,1192,True
sloppy_e001,66,False,0,15,0,9,0,-1,1787,True
sloppy_e001,67,False,0,13,0,11,0,-1,1379,True
sloppy_e001,68,False,0,12,0,12,0,-1,1261,True
sloppy_e001,69,False,0,14,0,10,0,-1,1189,True
sloppy_e001,70,False,0,14,0,10,0,-1,1191,True
sloppy_e001,71,False,0,14,0,10,0,-1,1127,True
sloppy_e001,72,False,0,13,0,11,0,-1,1497,True
sloppy_e001,73,False,0,12,0,12,0,-1,1430,True
sloppy_e001,74,False,0,13,0,11,0,-1,1249,True
sloppy_e001,75,True,18,19,5,0,23,1643,6201,True
sloppy_e001,76,False,0,12,0,12,0,-1,1566,True
sloppy_e001,77,False,0,13,0,11,0,-1,2045,True
sloppy_e001,78,False,0,11,0,13,0,-1,1232,True
sloppy_e001,79,True,21,18,5,1,21,1482,6201,True
sloppy_e001,80,False,0,11,0,13,0,-1,1450,True
sloppy_e001,81,False,0,15,0,9,0,-1,1531,True
sloppy_e001,82,False,0,14,0,10,0,-1,1606,True
sloppy_e001,83,False,0,14,0,10,0,-1,1410,True
sloppy_e001,84,False,0,12,0,12,0,-1,1161,True
sloppy_e001,85,False,0,14,0,10,0,-1,1246,True
sloppy_e001,86,False,0,15,0,9,0,-1,1422,True
sloppy_e001,87,False,0,15,0,9,0,-1,1386,True
sloppy_e001,88,False,0,15,0,9,0,-1,1364,True
sloppy_e001,89,False,0,14,0,10,0,-1,1355,True
sloppy_e001,90,False,0,14,0,10,0,-1,1554,True
sloppy_e001,91,False,0,13,0,11,0,-1,1936,True
sloppy_e001,92,False,0,14,0,10,0,-1,1648,True
sloppy_e001,93,False,0,12,0,12,0,-1,1472,True
sloppy_e001,94,False,0,14,0,10,0,-1,1343,True
sloppy_e001,95,False,0,13,0,11,0,-1,1175,True
sloppy_e001,96,False,0,13,0,11,0,-1,1194,True
sloppy_e001,97,False,0,11,0,13,0,-1,1074,True
sloppy_e001,98,False,0,14,0,10,0,-1,1653,True
sloppy_e001,99,False,0,12,0,12,0,-1,1066,True
sloppy_e001,100,False,0,13,0,11,0,-1,1304,True
sloppy_e005,1,True,19,11,13,0,23,1327,6201,True
sloppy_e005,2,False,0,15,0,9,0,-1,1228,True
sloppy_e005,3,True,20,13,11,0,21,1252,6201,True
sloppy_e005,4,False,0,14,0,10,0,-1,1592,True
sloppy_e005,5,False,0,14,1,9,0,1149,1601,True
sloppy_e005,6,False,0,12,0,12,0,-1,1224,True
sloppy_e005,7,True,15,10,13,1,21,1094,6201,True
sloppy_e005,8,False,0,12,0,12,0,-1,1101,True
sloppy_e005,9,True,20,13,11,0,21,1377,6201,True
sloppy_e005,10,False,0,12,0,12,0,-1,1468,True
sloppy_e005,11,False,0,14,0,10,0,-1,1558,True
sloppy_e005,12,False,0,13,0,11,0,-1,1662,True
sloppy_e005,13,False,0,10,0,14,0,-1,996,True
sloppy_e005,14,False,0,14,0,10,0,-1,990,True
sloppy_e005,15,False,0,12,0,12,0,-1,1280,True
sloppy_e005,16,False,0,17,0,7,0,-1,1936,True
sloppy_e005,17,False,0,13,0,11,0,-1,1289,True
sloppy_e005,18,False,0,15,0,9,0,-1,1771,True
